cell,n,WR%,E_R,PF,sumR,days,top_day_share,top_sym_share,jul_n,jul_E,aug_n,aug_E,tp_share,wla_n,wla_WR%,ROBUST
strategyxsymbol=ny_flush_buy_4h|FILUSDT,32,62.5,-0.0884,0.7,-2.8,22,inf,inf,9,-0.227,23,-0.034,0.0,5,60.0,
symbolxweekday=AAVEUSDT|6,40,62.5,0.0212,1.19,0.8,2,1.98,1.0,0,,40,0.021,0.1,15,60.0,
symbolxweekday=DOGEUSDT|3,32,62.5,0.053,1.5,1.7,1,1.0,1.0,0,,32,0.053,0.12,8,75.0,
strategyxregimexdecile_band=ny_flush_buy_4h|bull|D10,64,62.5,0.0279,1.22,1.8,11,1.59,0.82,5,0.101,59,0.022,0.0,10,70.0,
strategyxweekdayxhour_band=nony_momentum|4|6-11,80,62.5,0.0336,1.71,2.7,8,0.66,0.25,26,0.025,54,0.038,0.01,49,53.1,
strategyxweekdayxregime=follow_3h_all|6|bear,40,62.5,0.1089,2.98,4.4,2,0.96,0.3,39,0.107,1,0.174,0.0,1,100.0,
strategyxregimexbreadth=nony_momentum|bull|2-3,117,62.4,0.0433,2.16,5.1,18,0.24,0.44,39,0.041,78,0.045,0.09,72,65.3,Y
mktbxsymbol=30-60|AAVEUSDT,77,62.3,0.0152,1.17,1.2,4,1.46,1.0,0,,77,0.015,0.05,24,62.5,
strategyxweekdayxregime=ny_flush_buy_4h|1|neutral,61,62.3,0.0423,1.34,2.6,4,1.05,0.33,35,0.068,26,0.008,0.0,15,80.0,
strategyxsymbol=ny_flush_buy_4h|NEARUSDT,37,62.2,0.0313,1.33,1.2,29,0.48,1.0,18,0.025,19,0.037,0.0,7,57.1,
strategyxregimexdecile_band=burst_follow|bear|D10,206,62.1,0.0438,1.74,9.0,17,0.78,0.15,143,0.063,63,0.001,0.18,42,57.1,
strategyxregimexdecile_band=asia_pump_short_4h|neutral|D2-3,87,62.1,0.0543,1.46,4.7,25,0.51,0.73,56,0.028,31,0.102,0.0,30,63.3,
cascxstrategy=Y|nony_momentum,324,62.0,0.0308,1.72,10.0,21,0.47,0.28,29,-0.019,295,0.036,0.07,178,64.6,
strategyxvolz=follow_3h_all|2-5,121,62.0,0.0411,1.52,5.0,22,0.35,0.23,89,0.068,32,-0.035,0.0,21,42.9,
regimexstrategy=bear|nony_momentum,289,61.9,0.0353,1.69,10.2,17,0.55,0.15,235,0.036,54,0.033,0.1,70,72.9,
strategyxregimextrig=nony_momentum|bear|burst,289,61.9,0.0353,1.69,10.2,17,0.55,0.15,235,0.036,54,0.033,0.1,70,72.9,
decile_bandxstrategy=D10|follow_3h_all,170,61.8,0.0488,1.39,8.3,30,0.58,0.25,124,0.058,46,0.023,0.0,31,51.6,
fundxsymbol=neg|HYPEUSDT,34,61.8,0.0154,1.21,0.5,4,1.55,1.0,0,,34,0.015,0.03,17,58.8,
hour_bandxsymbol=12-17|LINKUSDT,34,61.8,-0.0162,0.88,-0.6,9,inf,inf,0,,34,-0.016,0.09,8,62.5,
strategyxregimexdecile_band=asia_pump_short_4h|neutral|D4-9,34,61.8,-0.0313,0.86,-1.1,15,inf,inf,28,-0.009,6,-0.133,0.0,8,62.5,
strategyxdecile_bandximb=follow_3h_all|D10|>=0.5,170,61.8,0.0488,1.39,8.3,30,0.58,0.25,124,0.058,46,0.023,0.0,31,51.6,
strategyxweekdayxregime=setup_fade|0|bull,94,61.7,0.1084,1.97,10.2,1,1.0,0.17,0,,94,0.108,0.11,60,55.0,
concxstrategy=>=6|asia_pump_short_4h,133,61.7,0.0836,1.71,11.1,18,0.32,0.21,133,0.084,0,,0.0,0,,
sidexsymbol=LONG|AVAXUSDT,73,61.6,0.0311,1.42,2.3,10,0.72,1.0,0,,73,0.031,0.14,18,72.2,
fundxstrategy=neg|follow_3h_all,151,61.6,0.0801,1.85,12.1,28,0.32,0.17,131,0.093,20,-0.006,0.0,20,50.0,
strategyxsym_state=follow_3h_all|bull,91,61.5,0.0513,1.64,4.7,15,0.49,0.29,3,-0.482,88,0.069,0.0,55,56.4,
strategyxregimexdecile_band=follow_3h_all|neutral|D4-9,52,61.5,0.0636,1.68,3.3,14,0.53,0.31,41,0.11,11,-0.108,0.0,8,50.0,
strategyxregimexadx=setup_follow|bear|>=30,70,61.4,0.0346,1.7,2.4,2,0.85,0.31,0,,70,0.035,0.16,51,62.7,
