cell,n,WR%,E_R,PF,sumR,days,top_day_share,top_sym_share,jul_n,jul_E,aug_n,aug_E,tp_share,wla_n,wla_WR%,ROBUST
sym_statexsymbol=NA|XRPUSDT,556,49.1,-0.0056,0.95,-3.1,18,inf,inf,527,-0.005,4,-0.115,0.07,6,50.0,
adxxweekday=20-30|0,1275,49.1,-0.0132,0.89,-16.8,6,inf,inf,648,-0.012,627,-0.014,0.1,578,50.5,
concxspread=0-1|>=5,776,49.1,-0.0064,0.95,-5.0,40,inf,inf,162,-0.003,614,-0.007,0.1,776,49.1,
fundxsymbol=flat|RENDERUSDT,277,49.1,0.0058,1.05,1.6,50,1.2,1.0,112,0.029,165,-0.01,0.11,133,48.1,
fundxoid=neg|>0.5,829,49.1,0.0037,1.03,3.1,48,0.85,1.12,391,0.003,438,0.005,0.09,423,48.5,
fundxstrategy=flat|setup_fade,2149,49.1,-0.0017,0.99,-3.7,62,inf,inf,1071,-0.001,1078,-0.002,0.12,960,49.9,
adxxfund=20-30|pos,2312,49.1,-0.0111,0.91,-25.7,39,inf,inf,897,-0.005,1415,-0.015,0.1,1257,49.3,
decile_bandxsymbol=D4-9|DOGEUSDT,55,49.1,-0.0132,0.87,-0.7,9,inf,inf,0,,55,-0.013,0.05,9,44.4,
fundxsymbol=flat|DOTUSDT,165,49.1,0.0052,1.04,0.9,35,1.1,1.0,80,0.022,85,-0.01,0.13,76,48.7,
fundxsymbol=flat|NMRUSDT,275,49.1,0.0034,1.03,0.9,42,1.35,1.0,141,0.012,134,-0.005,0.14,121,47.1,
hour_bandxsymbol=0-5|DOTUSDT,165,49.1,-0.008,0.94,-1.3,38,inf,inf,65,0.023,100,-0.028,0.12,68,48.5,
spreadxsymbol=<2|QNTUSDT,220,49.1,0.0194,1.15,4.3,42,0.43,1.0,68,0.026,152,0.017,0.13,132,50.0,
adxxv3=20-30|Y,5482,49.1,-0.0032,0.97,-17.5,38,inf,inf,2530,0.002,2952,-0.007,0.11,3157,49.3,
imbxsymbol=<0.5|1000PEPEUSDT,603,49.1,0.0028,1.02,1.7,52,1.22,1.0,297,0.005,303,0.0,0.1,226,50.4,
breadthxstrategy=>=4|late_fade,438,49.1,0.0198,1.41,8.7,26,0.99,0.11,123,0.041,315,0.011,0.19,109,43.1,
hour_bandxstrategy=18-23|nony_momentum,328,49.1,-0.0464,0.55,-15.2,41,inf,inf,166,-0.065,160,-0.026,0.05,108,67.6,
v3xvolz=Y|<2,6613,49.1,0.0004,1.0,2.9,57,2.51,3.59,2942,0.005,3671,-0.003,0.11,3381,49.4,
decile_bandxsymbol=D2-3|TAOUSDT,381,49.1,-0.0012,0.99,-0.4,58,inf,inf,168,0.006,211,-0.005,0.04,138,49.3,
imbxsymbol=<0.5|WLDUSDT,381,49.1,-0.0002,1.0,-0.1,45,inf,inf,197,-0.014,184,0.014,0.11,131,48.9,
imbxv3=>=0.5|Y,7553,49.1,-0.0041,0.97,-31.1,63,inf,inf,3513,0.001,3957,-0.009,0.11,3570,49.2,
symbolxvs=ICPUSDT|N,489,49.1,-0.0097,0.92,-4.7,62,inf,inf,263,-0.003,222,-0.018,0.12,191,47.6,
imbxsymbol=>=0.5|DOTUSDT,542,49.1,-0.0084,0.93,-4.6,52,inf,inf,235,0.016,307,-0.027,0.12,240,48.8,
fundximb=pos|<0.5,3719,49.1,-0.0005,1.0,-1.8,60,inf,inf,1099,0.005,2620,-0.003,0.1,1569,48.9,
v3xweekday=Y|3,1665,49.1,-0.0074,0.95,-12.3,9,inf,inf,895,-0.011,770,-0.004,0.12,794,48.9,
symbolxv3=UNIUSDT|N,322,49.1,-0.0058,0.95,-1.9,42,inf,inf,144,-0.005,176,-0.003,0.09,87,49.4,
concxsymbol=>=6|CHZUSDT,214,49.1,0.0081,1.07,1.7,21,0.65,1.0,214,0.008,0,,0.12,0,,
strategyxregimexdecile_band=london_burst_fade|bear|D2-3,214,49.1,0.0223,1.14,4.8,13,1.51,1.06,180,0.018,34,0.046,0.14,34,47.1,
concxweekend=0-1|True,1696,49.1,-0.0042,0.96,-7.1,12,inf,inf,235,0.003,1461,-0.005,0.1,1696,49.1,
fundxsymbol=neg|RENDERUSDT,106,49.1,0.0261,1.26,2.8,24,0.3,1.0,65,0.025,41,0.027,0.08,45,51.1,Y
symbolxweekday=TRUMPUSDT|6,106,49.1,0.0079,1.09,0.8,2,2.55,1.0,0,,106,0.008,0.08,70,51.4,
strategyxregimexdecile_band=asia_pump_short_4h|neutral|D10,53,49.1,0.02,1.12,1.1,18,1.96,1.42,44,0.079,9,-0.267,0.0,12,33.3,
decile_bandxregime=D10|neutral,1747,49.1,0.0039,1.03,6.8,38,1.4,0.89,1177,0.014,570,-0.018,0.11,494,50.4,
adxxsym_state=<20|neutral,1319,49.1,-0.0021,0.98,-2.7,11,inf,inf,667,-0.011,652,0.007,0.09,736,49.3,
cascxfund=Y|neg,316,49.1,-0.005,0.95,-1.6,25,inf,inf,81,0.044,235,-0.022,0.09,144,49.3,
oidxsymbol=>0.5|WLDUSDT,157,49.0,-0.0029,0.97,-0.5,32,inf,inf,63,-0.019,94,0.008,0.08,83,47.0,
v3xweekend=Y|True,3285,49.0,-0.0028,0.98,-9.3,18,inf,inf,1290,0.008,1995,-0.01,0.11,1579,48.9,
symbolxvs=DOTUSDT|N,573,49.0,-0.0072,0.94,-4.1,56,inf,inf,241,0.019,332,-0.026,0.11,240,49.6,
breadthxsymbol=>=4|DOTUSDT,208,49.0,-0.0136,0.9,-2.8,26,inf,inf,52,-0.023,156,-0.01,0.09,65,47.7,
fundxspread=flat|>=5,728,49.0,-0.0091,0.92,-6.6,48,inf,inf,250,0.013,478,-0.021,0.08,417,48.7,
symbolxweekday=NEARUSDT|0,104,49.0,-0.0163,0.85,-1.7,8,inf,inf,62,-0.026,42,-0.001,0.06,37,51.4,
sym_statexsymbol=neutral|ARBUSDT,310,49.0,-0.0086,0.93,-2.7,35,inf,inf,133,0.009,177,-0.022,0.1,125,52.0,
adxxstrategy=20-30|setup_fade,2631,49.0,0.0004,1.0,1.0,38,9.2,13.11,1208,0.006,1423,-0.005,0.11,1534,50.7,
decile_bandxvs=D4-9|Y,567,49.0,0.001,1.01,0.6,55,9.0,6.44,252,-0.003,302,0.004,0.13,252,50.8,
symbolxv3=CHZUSDT|Y,412,49.0,0.0025,1.02,1.0,55,1.15,1.0,218,0.006,190,-0.006,0.11,167,49.7,
adxxweekend=NA|True,2007,49.0,0.0002,1.0,0.4,4,19.79,4.58,2007,0.0,0,,0.07,0,,
breadthxweekend=NA|True,2007,49.0,0.0002,1.0,0.4,4,19.79,4.58,2007,0.0,0,,0.07,0,,
spreadxweekend=NA|True,2007,49.0,0.0002,1.0,0.4,4,19.79,4.58,2007,0.0,0,,0.07,0,,
sym_statexweekend=NA|True,2007,49.0,0.0002,1.0,0.4,4,19.79,4.58,2007,0.0,0,,0.07,0,,
spreadxvs=>=5|N,2195,49.0,-0.0028,0.97,-6.1,49,inf,inf,887,0.007,1308,-0.01,0.08,1111,48.9,
atrpxweekday=hi|3,1020,49.0,-0.0011,0.99,-1.1,8,inf,inf,266,-0.01,754,0.002,0.07,409,51.1,
hour_bandxsymbol=18-23|DOGEUSDT,51,49.0,-0.0359,0.69,-1.8,8,inf,inf,0,,51,-0.036,0.08,9,55.6,
regimexsymbol=neutral|ENAUSDT,459,49.0,0.0112,1.11,5.2,35,0.38,1.0,291,0.022,168,-0.008,0.08,138,47.8,
sidexsymbol=SHORT|DOGEUSDT,102,49.0,-0.0055,0.96,-0.6,10,inf,inf,0,,102,-0.006,0.09,22,54.5,
atrpxv3=lo|Y,1477,49.0,-0.002,0.99,-2.9,53,inf,inf,579,0.012,898,-0.011,0.14,840,49.0,
strategyxvs=setup_fade|N,4682,49.0,-0.0002,1.0,-1.2,63,inf,inf,2200,0.009,2454,-0.01,0.11,2222,49.9,
oidxweekend=NA|True,2030,49.0,0.0002,1.0,0.3,9,24.85,5.75,2011,0.0,19,-0.023,0.07,12,50.0,
decile_bandxsymbol=D2-3|CHZUSDT,304,49.0,0.0058,1.05,1.7,50,0.5,1.0,189,0.004,111,0.002,0.11,104,49.0,
strategyxweekdayxhour_band=asia_burst_fade|4|0-5,304,49.0,-0.0168,0.91,-5.1,7,inf,inf,135,-0.054,169,0.013,0.12,91,48.4,
fundxv3=neg|Y,2677,49.0,-0.001,0.99,-2.7,60,inf,inf,1563,0.004,1114,-0.008,0.11,1299,49.8,
atrpxbreadth=lo|2-3,857,49.0,-0.0047,0.96,-4.0,37,inf,inf,349,-0.006,508,-0.004,0.13,604,48.3,
regimexsymbol=neutral|RUNEUSDT,151,49.0,0.006,1.05,0.9,25,0.96,1.0,102,0.028,49,-0.04,0.11,77,49.4,
mktbxstrategy=<30|late_fade,704,49.0,0.0154,1.31,10.8,48,0.82,0.16,345,0.015,359,0.016,0.17,208,44.7,
fundxsymbol=pos|RUNEUSDT,251,49.0,-0.0074,0.94,-1.9,44,inf,inf,90,0.027,161,-0.026,0.12,133,48.9,
symbol=QNTUSDT,351,49.0,0.0069,1.06,2.4,55,0.75,1.0,151,0.011,198,0.003,0.11,168,50.0,
imbxsymbol=>=0.5|RENDERUSDT,351,49.0,0.0101,1.09,3.5,54,0.55,1.0,153,0.024,192,-0.003,0.1,168,48.8,
oidxsymbol=mid|FILUSDT,351,49.0,-0.0156,0.88,-5.5,47,inf,inf,122,-0.014,229,-0.016,0.1,176,47.7,
sessionxsymbol=None|QNTUSDT,351,49.0,0.0069,1.06,2.4,55,0.75,1.0,151,0.011,198,0.003,0.11,168,50.0,
decile_bandxside=D4-9|LONG,3106,49.0,0.0103,1.09,31.9,63,0.49,0.36,1414,0.008,1664,0.012,0.12,1123,49.7,
regimexvolz=neutral|>=5,1602,49.0,-0.0068,0.94,-10.9,36,inf,inf,1004,-0.0,598,-0.017,0.09,502,50.2,
strategyxvolz=setup_follow|<2,3204,49.0,-0.0016,0.98,-5.1,57,inf,inf,1435,-0.01,1769,0.005,0.11,1635,48.6,
regimexsymbol=bull|CHZUSDT,100,49.0,0.0211,1.2,2.1,14,0.55,1.0,25,0.077,75,0.002,0.09,45,51.1,
symbolxweekday=NEARUSDT|3,100,49.0,-0.0453,0.62,-4.5,9,inf,inf,63,-0.047,37,-0.043,0.08,34,52.9,
strategyxregimexdecile_band=setup_follow|neutral|D2-3,1541,49.0,-0.0026,0.96,-4.0,39,inf,inf,931,-0.007,610,0.005,0.09,753,49.8,
atrpxweekend=NA|True,994,49.0,0.004,1.04,4.0,2,2.15,0.5,994,0.004,0,,0.07,0,,
volzxweekend=NA|True,994,49.0,0.004,1.04,4.0,2,2.15,0.5,994,0.004,0,,0.07,0,,
imbxsymbol=>=0.5|ICPUSDT,447,49.0,-0.0187,0.86,-8.4,51,inf,inf,264,-0.009,179,-0.034,0.11,152,47.4,
symbol=DOTUSDT,645,49.0,-0.0096,0.93,-6.2,58,inf,inf,285,0.01,360,-0.025,0.11,267,49.4,
sessionxsymbol=None|DOTUSDT,645,49.0,-0.0096,0.93,-6.2,58,inf,inf,285,0.01,360,-0.025,0.11,267,49.4,
symbolxv3=QNTUSDT|Y,347,49.0,0.0067,1.05,2.3,55,0.78,1.0,151,0.011,194,0.003,0.12,168,50.0,
atrpxsymbol=mid|RUNEUSDT,198,49.0,-0.0016,0.99,-0.3,36,inf,inf,106,0.012,92,-0.018,0.13,91,48.4,
atrpxsymbol=mid|QNTUSDT,198,49.0,0.0111,1.09,2.2,39,0.82,1.0,79,0.027,119,0.001,0.1,103,49.5,
breadthxsymbol=2-3|XRPUSDT,394,49.0,-0.0102,0.91,-4.0,40,inf,inf,130,0.007,264,-0.018,0.1,251,45.8,
atrpxsymbol=mid|SUIUSDT,49,49.0,0.0036,1.03,0.2,6,8.24,1.0,0,,49,0.004,0.14,22,50.0,
symbolxweekday=TRUMPUSDT|1,49,49.0,-0.025,0.74,-1.2,1,inf,inf,0,,49,-0.025,0.02,15,46.7,
atrpxspread=mid|>=5,1613,49.0,-0.002,0.98,-3.3,49,inf,inf,704,0.009,909,-0.011,0.09,917,49.3,
hour_bandxsym_state=6-11|bear,537,49.0,0.0009,1.01,0.5,35,2.49,4.07,257,-0.007,280,0.008,0.08,354,48.6,
breadthxspread=1|2-5,1168,49.0,0.0087,1.08,10.2,49,0.35,0.34,434,0.009,734,0.009,0.1,771,49.8,Y
regimexsymbol=neutral|WLDUSDT,584,49.0,-0.0094,0.92,-5.5,37,inf,inf,396,-0.019,188,0.011,0.08,229,49.8,
breadthxfund=2-3|pos,1456,49.0,-0.0027,0.98,-4.0,41,inf,inf,299,-0.003,1157,-0.003,0.09,909,48.8,
sym_statexsymbol=bull|RUNEUSDT,194,49.0,0.007,1.06,1.4,20,0.58,1.0,70,0.037,124,-0.01,0.1,99,49.5,
strategyxsidexregime=nony_momentum|LONG|neutral,821,49.0,-0.0244,0.7,-20.0,32,inf,inf,585,-0.026,236,-0.021,0.05,245,51.0,
fundxweekday=pos|2,915,49.0,-0.0153,0.86,-14.0,9,inf,inf,301,-0.005,614,-0.02,0.07,400,49.8,
breadthxsymbol=>=4|RENDERUSDT,96,49.0,0.0014,1.02,0.1,23,4.63,1.0,30,-0.003,66,0.003,0.08,42,47.6,
concxsymbol=0-1|RUNEUSDT,96,49.0,0.0092,1.09,0.9,21,1.28,1.0,36,0.041,60,-0.01,0.1,96,49.0,
fundxsymbol=neg|QNTUSDT,96,49.0,0.0064,1.05,0.6,22,1.61,1.0,78,0.004,18,0.018,0.09,40,50.0,
spreadxsymbol=>=5|RENDERUSDT,288,49.0,0.0055,1.05,1.6,46,0.74,1.0,82,0.026,206,-0.003,0.1,178,48.9,
concxstrategy=>=6|setup_follow,1720,49.0,-0.0013,0.98,-2.2,23,inf,inf,1720,-0.001,0,,0.11,0,,
hour_bandxv3=18-23|Y,2627,49.0,0.0017,1.01,4.4,61,1.4,1.07,1201,0.004,1381,-0.003,0.12,1244,50.2,
symbolxv3=NEARUSDT|Y,382,49.0,-0.0047,0.96,-1.8,60,inf,inf,189,0.002,189,-0.01,0.07,190,48.4,
hour_bandxstrategy=6-11|setup_fade,1383,49.0,0.0031,1.02,4.3,62,1.43,1.91,659,0.006,722,0.0,0.11,642,51.4,
concxsymbol=>=6|RUNEUSDT,143,49.0,0.0263,1.27,3.8,22,0.36,1.0,143,0.026,0,,0.1,0,,
symbol=RUNEUSDT,380,48.9,0.0012,1.01,0.4,51,3.06,1.0,191,0.016,187,-0.017,0.12,176,48.9,
sessionxsymbol=None|RUNEUSDT,380,48.9,0.0012,1.01,0.4,51,3.06,1.0,191,0.016,187,-0.017,0.12,176,48.9,
symbolxvolz=UNIUSDT|<2,380,48.9,-0.002,0.98,-0.8,49,inf,inf,155,-0.01,225,0.003,0.09,177,48.0,
vsxweekday=Y|5,237,48.9,-0.0043,0.97,-1.0,9,inf,inf,85,0.013,152,-0.014,0.11,98,46.9,
concxsymbol=2-3|FETUSDT,235,48.9,-0.0116,0.89,-2.7,39,inf,inf,61,-0.012,174,-0.012,0.07,90,47.8,
regimexsymbol=bull|PENGUUSDT,141,48.9,-0.0099,0.89,-1.4,8,inf,inf,0,,141,-0.01,0.06,26,53.8,
symbolxv3=SUIUSDT|N,141,48.9,-0.0155,0.84,-2.2,8,inf,inf,0,,141,-0.016,0.06,26,46.2,
symbolxvs=SUIUSDT|N,188,48.9,-0.0068,0.93,-1.3,8,inf,inf,0,,188,-0.007,0.07,54,48.1,
symbolxweekday=ZECUSDT|6,282,48.9,-0.0104,0.88,-2.9,9,inf,inf,114,0.009,168,-0.024,0.06,110,46.4,
volzxweekday=>=5|5,329,48.9,-0.0047,0.96,-1.6,8,inf,inf,137,-0.02,192,0.006,0.11,148,48.0,
adxxconc=<20|2-3,985,48.9,-0.0077,0.93,-7.6,9,inf,inf,550,-0.015,435,0.002,0.09,401,50.4,
spreadxweekend=>=5|True,607,48.9,0.0025,1.02,1.5,14,1.24,1.75,134,0.015,473,-0.001,0.08,330,47.3,
strategyxweekday=setup_follow|0,650,48.9,-0.0082,0.9,-5.3,9,inf,inf,304,-0.013,346,-0.004,0.12,287,48.8,
sidexvolz=SHORT|<2,7770,48.9,-0.014,0.89,-108.4,57,inf,inf,3221,0.005,4549,-0.027,0.08,3457,49.5,
strategyxsym_state=ny_flush_buy_4h|neutral,323,48.9,-0.0364,0.81,-11.8,37,inf,inf,128,0.04,195,-0.087,0.0,78,48.7,
imbxspread=>=0.5|>=5,2028,48.9,-0.0046,0.96,-9.3,49,inf,inf,825,0.002,1203,-0.009,0.08,1057,49.0,
strategyxregimexadx=setup_follow|bull|>=30,1014,48.9,0.0014,1.02,1.4,12,3.59,1.81,47,-0.036,967,0.003,0.12,594,47.6,
imbxweekday=<0.5|5,1380,48.9,0.0036,1.03,5.0,9,1.0,0.8,540,0.006,840,0.002,0.1,559,46.0,
symbolxweekday=XLMUSDT|3,92,48.9,-0.0281,0.8,-2.6,9,inf,inf,65,-0.027,27,-0.031,0.1,21,52.4,
symbolxweekend=UNIUSDT|True,229,48.9,0.0204,1.21,4.7,18,0.38,1.0,83,-0.002,146,0.033,0.07,93,49.5,
regimexsymbol=neutral|NEARUSDT,366,48.9,0.0039,1.04,1.4,35,1.22,1.0,240,0.007,126,-0.001,0.07,156,49.4,
adxxsymbol=>=30|PENGUUSDT,137,48.9,-0.0052,0.94,-0.7,8,inf,inf,0,,137,-0.005,0.06,24,54.2,
fundxsymbol=pos|CHZUSDT,137,48.9,-0.0019,0.98,-0.3,25,inf,inf,28,0.017,109,-0.007,0.09,62,50.0,
decile_bandxweekday=D4-9|5,728,48.9,-0.0007,0.99,-0.5,9,inf,inf,303,0.004,425,-0.004,0.12,290,46.9,
regimexvs=bear|Y,317,48.9,-0.0155,0.88,-4.9,17,inf,inf,215,-0.022,102,-0.002,0.11,82,48.8,
breadthxside=>=4|SHORT,4119,48.9,-0.0156,0.88,-64.3,42,inf,inf,893,0.016,3226,-0.024,0.1,1455,49.5,
atrpxsymbol=hi|WLDUSDT,724,48.9,-0.0121,0.89,-8.7,50,inf,inf,388,-0.019,336,-0.004,0.06,185,48.1,
fundxside=NA|SHORT,362,48.9,-0.0181,0.89,-6.5,7,inf,inf,197,-0.101,37,0.105,0.09,44,65.9,
strategyxregimexdecile_band=setup_fade|neutral|D2-3,1538,48.9,0.0085,1.05,13.1,39,0.65,0.73,927,0.027,611,-0.019,0.1,754,48.9,
breadthxsymbol=2-3|HYPEUSDT,45,48.9,-0.0035,0.96,-0.2,8,inf,inf,0,,45,-0.004,0.02,24,54.2,
concxsymbol=2-3|RUNEUSDT,135,48.9,-0.0288,0.82,-3.9,25,inf,inf,8,-0.168,127,-0.02,0.13,80,48.8,
hour_bandxsymbol=0-5|FETUSDT,180,48.9,-0.0018,0.98,-0.3,39,inf,inf,97,-0.011,83,0.009,0.07,77,48.1,
hour_bandxsymbol=0-5|ICPUSDT,135,48.9,-0.0175,0.88,-2.4,40,inf,inf,73,-0.025,62,-0.009,0.15,60,46.7,
strategyxvolz=london_burst_fade|2-5,405,48.9,0.0361,1.22,14.6,44,0.33,0.28,185,0.084,220,-0.004,0.18,102,50.0,
symbolxvs=DASHUSDT|Y,45,48.9,-0.0287,0.75,-1.3,15,inf,inf,20,-0.031,25,-0.026,0.04,23,52.2,
symbolxweekday=HYPEUSDT|2,45,48.9,-0.0155,0.81,-0.7,1,inf,inf,0,,45,-0.016,0.02,19,52.6,
hour_bandxspread=0-5|>=5,583,48.9,0.0078,1.07,4.6,46,0.43,0.48,246,0.017,337,0.001,0.08,295,48.5,
adxxsymbol=20-30|XRPUSDT,716,48.9,0.0022,1.02,1.5,39,1.51,1.0,321,0.013,395,-0.007,0.11,368,45.9,
symbolxvs=UNIUSDT|N,671,48.9,-0.0038,0.97,-2.5,61,inf,inf,301,-0.005,364,-0.001,0.09,258,49.2,
hour_bandxstrategy=12-17|london_burst_fade,894,48.9,0.008,1.04,7.1,53,0.98,1.84,484,0.019,376,-0.014,0.17,256,50.8,
spreadxstrategy=>=5|setup_fade,757,48.9,-0.0019,0.99,-1.5,49,inf,inf,275,0.03,482,-0.02,0.09,473,49.0,
strategyxweekdayxhour_band=setup_follow|1|18-23,178,48.9,-0.0162,0.81,-2.9,9,inf,inf,61,-0.002,95,-0.014,0.1,87,49.4,
decile_bandxv3=D2-3|Y,6670,48.9,-0.0054,0.96,-36.3,63,inf,inf,3215,0.0,3395,-0.012,0.1,3247,49.1,
strategyxvolz=setup_fade|2-5,1242,48.9,-0.0093,0.95,-11.6,56,inf,inf,468,-0.001,774,-0.014,0.12,641,48.4,
concxweekday=>=6|5,1197,48.9,-0.0007,0.99,-0.9,3,inf,inf,1197,-0.001,0,,0.08,0,,
strategyxweekdayxhour_band=setup_follow|4|6-11,221,48.9,-0.0126,0.84,-2.8,9,inf,inf,104,-0.006,117,-0.018,0.1,110,44.5,
concxsymbol=>=6|WLDUSDT,573,48.9,-0.0127,0.89,-7.3,22,inf,inf,573,-0.013,0,,0.06,0,,
adxxspread=>=30|>=5,616,48.9,-0.0117,0.9,-7.2,14,inf,inf,30,0.052,586,-0.015,0.09,304,47.4,
cascxsymbol=Y|FILUSDT,88,48.9,-0.0288,0.75,-2.5,4,inf,inf,0,,88,-0.029,0.06,37,45.9,
concxside=NA|SHORT,352,48.9,-0.0188,0.88,-6.6,7,inf,inf,187,-0.107,37,0.105,0.09,44,65.9,
fundxstrategy=NA|setup_fade,88,48.9,-0.0088,0.95,-0.8,2,inf,inf,46,-0.118,0,,0.09,0,,
imbxsymbol=>=0.5|QNTUSDT,264,48.9,0.0098,1.08,2.6,48,0.7,1.0,101,0.02,161,0.003,0.12,126,49.2,
mktbxside=NA|SHORT,352,48.9,-0.0188,0.88,-6.6,7,inf,inf,187,-0.107,37,0.105,0.09,44,65.9,
regimexside=NA|SHORT,352,48.9,-0.0188,0.88,-6.6,7,inf,inf,187,-0.107,37,0.105,0.09,44,65.9,
symbolxvs=RUNEUSDT|N,352,48.9,0.0036,1.03,1.3,51,1.07,1.0,177,0.016,173,-0.012,0.12,164,49.4,
symbolxweekday=UNIUSDT|0,88,48.9,-0.0325,0.74,-2.9,8,inf,inf,50,-0.05,38,-0.009,0.09,23,52.2,
concxsymbol=2-3|ARBUSDT,219,48.9,-0.0184,0.87,-4.0,39,inf,inf,37,0.007,182,-0.024,0.12,70,51.4,
hour_bandxsymbol=0-5|FILUSDT,219,48.9,-0.0249,0.79,-5.4,48,inf,inf,113,0.002,106,-0.053,0.05,70,47.1,
cascxspread=N|>=5,2311,48.9,-0.0036,0.97,-8.3,49,inf,inf,944,0.006,1367,-0.01,0.08,1186,49.0,
hour_bandxweekday=18-23|5,741,48.9,-0.0107,0.89,-8.0,9,inf,inf,336,-0.017,405,-0.005,0.07,298,50.0,
adxxv3=<20|N,870,48.9,-0.0123,0.88,-10.7,7,inf,inf,632,-0.014,238,-0.009,0.07,419,48.9,
sidexweekday=SHORT|4,1990,48.8,0.0012,1.01,2.4,9,5.17,1.54,963,0.019,1027,-0.016,0.1,798,49.6,
breadthxweekday=1|5,991,48.8,0.0077,1.07,7.6,7,0.58,0.38,291,0.012,700,0.006,0.1,672,49.0,
decile_bandxsymbol=D2-3|UNIUSDT,430,48.8,-0.0116,0.9,-5.0,59,inf,inf,184,-0.011,240,-0.012,0.08,169,47.3,
fundxstrategy=NA|ny_burst_fade,43,48.8,0.03,1.27,1.3,2,2.11,0.58,20,0.136,0,,0.09,0,,
imbxsymbol=<0.5|CHZUSDT,43,48.8,0.0189,1.17,0.8,11,0.73,1.0,26,0.01,17,0.032,0.07,14,50.0,
mktbxsymbol=>=60|ENAUSDT,43,48.8,0.0232,1.35,1.0,2,0.87,1.0,0,,43,0.023,0.05,19,36.8,
symbolxv3=BCHUSDT|Y,43,48.8,0.0167,1.15,0.7,6,0.92,1.0,0,,43,0.017,0.12,20,50.0,
adxxstrategy=<20|burst_follow,385,48.8,-0.0171,0.76,-6.6,7,inf,inf,265,-0.03,120,0.012,0.04,196,51.5,
strategyxregimexadx=burst_follow|neutral|<20,385,48.8,-0.0171,0.76,-6.6,7,inf,inf,265,-0.03,120,0.012,0.04,196,51.5,
regimexweekday=neutral|0,2296,48.8,-0.0131,0.89,-30.0,7,inf,inf,1655,-0.011,641,-0.017,0.09,741,50.2,
mktbxsymbol=<30|RUNEUSDT,338,48.8,0.0035,1.03,1.2,48,1.14,1.0,187,0.021,151,-0.018,0.11,156,49.4,
strategyxsymbol=setup_follow|ADAUSDT,211,48.8,0.0093,1.15,2.0,59,0.47,1.0,109,0.01,99,0.007,0.1,95,45.3,
strategyxweekdayxregime=setup_follow|5|bear,211,48.8,-0.0059,0.92,-1.2,3,inf,inf,78,0.009,133,-0.015,0.11,104,47.1,
breadthxsymbol=2-3|XLMUSDT,84,48.8,-0.0347,0.75,-2.9,26,inf,inf,42,-0.056,42,-0.014,0.13,39,48.7,
concxweekday=0-1|5,840,48.8,-0.002,0.98,-1.7,6,inf,inf,151,0.012,689,-0.005,0.1,840,48.8,
oidxsymbol=<-0.5|ARBUSDT,84,48.8,0.0301,1.34,2.5,24,0.74,1.0,36,-0.01,48,0.06,0.12,24,54.2,
regimexsymbol=neutral|ICPUSDT,252,48.8,-0.0014,0.99,-0.4,36,inf,inf,154,-0.002,98,-0.001,0.12,110,47.3,
symbolxweekday=CHZUSDT|0,84,48.8,0.005,1.04,0.4,9,1.69,1.0,53,-0.001,31,0.015,0.13,27,48.1,
symbolxweekend=CHZUSDT|False,377,48.8,0.0023,1.02,0.9,43,1.3,1.0,232,0.01,141,-0.016,0.1,131,48.9,
hour_bandxspread=12-17|>=5,586,48.8,-0.0058,0.95,-3.4,47,inf,inf,225,0.009,361,-0.015,0.08,312,48.7,
fundxstrategy=pos|setup_follow,1750,48.8,-0.0006,0.99,-1.0,61,inf,inf,621,-0.001,1129,-0.0,0.11,859,48.0,
v3xweekday=Y|5,1664,48.8,0.002,1.02,3.3,9,1.67,1.19,718,0.008,946,-0.003,0.11,803,48.1,
volzxvs=2-5|Y,416,48.8,-0.0097,0.94,-4.0,44,inf,inf,137,-0.021,279,-0.004,0.15,224,50.0,
hour_bandxsymbol=6-11|ADAUSDT,291,48.8,-0.009,0.92,-2.6,49,inf,inf,141,-0.012,150,-0.006,0.07,98,50.0,
symbolxweekend=TRUMPUSDT|True,166,48.8,0.0046,1.06,0.8,4,2.76,1.0,0,,166,0.005,0.05,116,51.7,
strategyxsymbol=setup_follow|ARBUSDT,207,48.8,-0.0185,0.78,-3.8,59,inf,inf,97,-0.041,110,0.001,0.11,101,51.5,
symbolxvolz=QNTUSDT|<2,207,48.8,0.0201,1.17,4.2,44,0.44,1.0,92,0.009,115,0.029,0.11,97,50.5,
concxspread=2-3|>=5,1158,48.8,-0.0101,0.91,-11.7,40,inf,inf,327,-0.001,831,-0.014,0.08,453,48.1,
regimexsymbol=bear|XRPUSDT,412,48.8,-0.0166,0.86,-6.8,21,inf,inf,282,-0.017,130,-0.015,0.09,106,48.1,
strategyxsym_state=setup_fade|neutral,2468,48.8,-0.0039,0.98,-9.6,48,inf,inf,938,0.02,1530,-0.019,0.11,1411,50.7,
symbol=PENGUUSDT,164,48.8,-0.021,0.8,-3.5,10,inf,inf,0,,164,-0.021,0.07,36,52.8,
cascxsymbol=N|PENGUUSDT,164,48.8,-0.021,0.8,-3.5,10,inf,inf,0,,164,-0.021,0.07,36,52.8,
fundxsymbol=flat|PENGUUSDT,164,48.8,-0.021,0.8,-3.5,10,inf,inf,0,,164,-0.021,0.07,36,52.8,
sessionxsymbol=None|PENGUUSDT,164,48.8,-0.021,0.8,-3.5,10,inf,inf,0,,164,-0.021,0.07,36,52.8,
