cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
adxbxsym=20-30|1000PEPEUSDT,550,51.3,51.3,-0.0019,0.98,-1.0,37,inf,"[47.1,55.4]",51.7,5.90e-01,1.000,312,52.2,0.005,N,238,50.0,-0.011,N,0.029,-0.001,-0.022,4,6.9,NO
stratxweekday=setup_follow|1,729,48.6,48.6,-0.0117,0.84,-8.5,9,inf,"[44.9,52.2]",52.9,9.91e-01,1.000,365,46.3,-0.012,N,364,50.8,-0.011,N,-0.008,-0.002,-0.025,14,8.8,NO
rvbxv3=2-5|False,2690,51.6,51.6,-0.0027,0.97,-7.4,49,inf,"[49.7,53.5]",52.3,7.51e-01,1.000,1230,51.7,0.007,N,1460,51.6,-0.011,N,0.008,0.001,-0.01,13,21.3,NO
stratxregimexdecb=burst_follow|bear|D4-9,175,50.3,50.3,-0.0207,0.75,-3.6,18,inf,"[43.0,57.6]",57.5,9.76e-01,1.000,128,47.7,-0.024,N,47,57.4,-0.011,N,-0.028,0.006,-0.011,10,4.5,NO
symxv3=NEARUSDT|True,382,49.0,49.0,-0.0053,0.95,-2.0,60,inf,"[44.0,54.0]",50.2,7.07e-01,1.000,193,49.2,0.0,N,189,48.7,-0.011,N,-0.014,0.032,-0.043,4,6.2,NO
rvbxsym=<2|SUIUSDT,119,48.7,48.7,-0.0111,0.89,-1.3,8,inf,"[39.9,57.6]",51.7,7.69e-01,1.000,0,,,N,119,48.7,-0.011,N,,,-0.011,4,2.3,NO
decbxrvb=D2-3|2-5,2329,51.3,51.3,-0.0102,0.92,-23.7,57,inf,"[49.2,53.3]",53.4,9.83e-01,1.000,967,50.9,-0.009,N,1362,51.5,-0.011,N,-0.012,-0.003,-0.013,7,26.0,NO
stratxregimexdecb=burst_follow|neutral|D2-3,2162,52.0,52.0,-0.0051,0.92,-11.1,34,inf,"[49.9,54.1]",54.1,9.72e-01,1.000,1435,52.5,-0.002,N,727,51.0,-0.011,N,0.001,-0.009,-0.01,19,23.1,NO
sessionxsym=asia|ICPUSDT,169,48.5,48.5,-0.0153,0.88,-2.6,47,inf,"[41.1,56.0]",51.6,8.09e-01,1.000,91,49.5,-0.019,N,78,47.4,-0.011,N,0.007,-0.026,-0.028,4,3.9,NO
sprb=>=5bps,2391,48.7,48.7,-0.0046,0.96,-10.9,49,inf,"[46.7,50.7]",49.8,8.51e-01,1.000,944,48.1,0.006,N,1447,49.1,-0.011,N,0.004,0.009,-0.019,12,24.7,NO
sprbxvolb=>=5bps|hi>=0.40%,2391,48.7,48.7,-0.0046,0.96,-10.9,49,inf,"[46.7,50.7]",49.8,8.51e-01,1.000,944,48.1,0.006,N,1447,49.1,-0.011,N,0.004,0.009,-0.019,12,24.7,NO
adxbxsprb=20-30|<2bps,7794,50.8,50.8,-0.0041,0.97,-31.7,39,inf,"[49.7,51.9]",51.7,9.39e-01,1.000,3919,51.4,0.003,N,3875,50.2,-0.011,N,0.003,0.0,-0.013,16,51.8,NO
sessionxsym=asia|PENGUUSDT,71,47.9,47.9,-0.0114,0.88,-0.8,9,inf,"[36.7,59.3]",51.0,7.40e-01,1.000,0,,,N,71,47.9,-0.011,N,,,-0.011,3,1.4,NO
hourbxsession=12-17|ny,4213,51.5,51.5,-0.0038,0.96,-15.8,61,inf,"[50.0,53.0]",52.4,8.97e-01,1.000,2003,51.9,0.005,N,2210,51.1,-0.011,N,0.006,-0.006,-0.01,16,38.6,NO
