cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
symxweekday=FILUSDT|2,107,52.3,52.3,-0.0156,0.87,-1.7,9,inf,"[43.0,61.6]",55.7,7.88e-01,1.000,71,52.1,-0.001,N,36,52.8,-0.044,N,0.01,-0.022,-0.04,4,5.0,NO
sessionxsym=london|ICPUSDT,126,49.2,49.2,-0.0044,0.97,-0.6,38,inf,"[40.6,57.8]",50.0,6.08e-01,1.000,75,52.0,0.023,N,51,45.1,-0.044,N,0.001,0.033,-0.071,3,2.4,NO
regimexweekday=neutral|2,1202,47.8,47.8,-0.0207,0.84,-24.9,4,inf,"[45.0,50.7]",52.1,9.99e-01,1.000,711,47.5,-0.004,N,491,48.3,-0.044,N,-0.004,-0.004,-0.069,9,27.6,NO
symxweekday=WLDUSDT|0,180,49.4,49.4,-0.0452,0.68,-8.1,9,inf,"[42.2,56.7]",58.9,9.96e-01,1.000,116,50.9,-0.046,N,64,46.9,-0.044,N,-0.051,-0.034,-0.044,10,9.5,NO
sidexsym=SHORT|FILUSDT,326,48.2,48.2,-0.0132,0.91,-4.3,62,inf,"[42.8,53.6]",50.5,8.16e-01,1.000,170,52.4,0.015,N,156,43.6,-0.044,N,0.043,-0.046,-0.036,7,11.2,NO
stratxregimexdecb=london_burst_fade|bull|D2-3,739,42.2,42.2,-0.0381,0.79,-28.1,17,inf,"[38.7,45.8]",47.9,9.99e-01,1.000,110,44.5,-0.001,N,629,41.8,-0.044,N,0.077,-0.089,-0.044,20,33.9,NO
decbxsession=D10|late,380,47.9,47.9,-0.0152,0.88,-5.8,39,inf,"[42.9,52.9]",51.2,9.09e-01,1.000,242,47.9,0.002,N,138,47.8,-0.045,N,0.008,-0.022,-0.043,14,8.6,NO
symxweekday=SOLUSDT|6,327,51.7,51.7,-0.0209,0.81,-6.8,9,inf,"[46.3,57.0]",56.8,9.73e-01,1.000,157,51.6,0.005,N,170,51.8,-0.045,N,0.007,-0.052,-0.038,4,9.2,NO
symxweekday=BNBUSDT|5,91,50.5,50.5,-0.0468,0.73,-4.3,7,inf,"[40.5,60.6]",58.3,9.45e-01,1.000,45,48.9,-0.048,N,46,52.2,-0.045,N,-0.034,-0.092,-0.033,2,4.6,NO
symxweekend=AVAXUSDT|False,80,50.0,50.0,-0.0451,0.68,-3.6,6,inf,"[39.3,60.7]",59.4,9.65e-01,1.000,0,,,N,80,50.0,-0.045,N,,,-0.045,3,4.3,NO
sym=AVAXUSDT,123,52.0,52.0,-0.0452,0.69,-5.6,10,inf,"[43.3,60.7]",61.0,9.83e-01,1.000,0,,,N,123,52.0,-0.045,N,,,-0.045,3,6.5,NO
symxvolb=AVAXUSDT|hi>=0.40%,123,52.0,52.0,-0.0452,0.69,-5.6,10,inf,"[43.3,60.7]",61.0,9.83e-01,1.000,0,,,N,123,52.0,-0.045,N,,,-0.045,3,6.5,NO
symxweekend=AVAXUSDT|True,43,55.8,55.8,-0.0453,0.71,-1.9,4,inf,"[41.1,69.6]",64.0,8.98e-01,1.000,0,,,N,43,55.8,-0.045,N,,,-0.045,3,2.9,NO
stratxregimexdecb=setup_fade|bull|D2-3,880,46.9,46.9,-0.0297,0.84,-26.1,22,inf,"[43.7,50.2]",51.2,9.95e-01,1.000,242,50.0,0.012,N,638,45.8,-0.046,N,0.0,0.023,-0.046,14,38.0,NO
stratxv3=burst_follow|True,323,52.3,52.3,-0.0357,0.65,-11.5,55,inf,"[46.9,57.7]",62.8,1.00e+00,1.000,148,54.1,-0.024,N,175,50.9,-0.046,N,-0.035,-0.007,-0.046,13,11.8,NO
symxweekday=TAOUSDT|3,100,52.0,52.0,-0.002,0.98,-0.2,9,inf,"[42.3,61.5]",52.4,5.72e-01,1.000,56,51.8,0.032,N,44,52.3,-0.046,N,0.036,0.021,-0.045,3,3.0,NO
sprbxstrat=<2bps|asia_pump_short_4h,278,56.1,56.1,-0.0171,0.92,-4.7,38,inf,"[50.2,61.8]",58.2,7.75e-01,1.000,80,60.0,0.054,N,198,54.5,-0.046,N,0.148,-0.046,-0.03,31,27.2,NO
stratxweekdayxregime=late_fade|2|bear,44,45.5,45.5,-0.0176,0.7,-0.8,3,inf,"[31.7,59.9]",54.4,9.09e-01,1.000,24,54.2,0.006,N,20,35.0,-0.046,N,0.008,-0.003,-0.046,7,1.3,NO
stratxweekdayxregime=setup_follow|3|neutral,264,42.8,42.8,-0.0213,0.74,-5.6,5,inf,"[37.0,48.8]",50.2,9.93e-01,1.000,135,48.9,0.002,N,129,36.4,-0.046,N,0.025,-0.041,-0.019,9,8.1,NO
sessionxside=ny|SHORT,3135,48.9,48.9,-0.0221,0.82,-69.1,61,inf,"[47.2,50.7]",53.9,1.00e+00,1.000,1546,52.7,0.003,N,1589,45.3,-0.046,N,0.002,-0.013,-0.049,41,84.5,NO
sprbxsym=<2bps|AVAXUSDT,122,51.6,51.6,-0.0464,0.69,-5.7,10,inf,"[42.9,60.3]",60.8,9.84e-01,1.000,0,,,N,122,51.6,-0.046,N,,,-0.046,3,6.6,NO
hourbxsym=12-17|NMRUSDT,82,46.3,46.3,-0.0021,0.98,-0.2,30,inf,"[36.0,57.1]",46.7,5.72e-01,1.000,42,50.0,0.04,N,40,42.5,-0.047,N,0.043,0.052,-0.077,6,2.8,NO
stratxweekdayxhourb=asia_burst_fade|3|0-5,227,42.7,42.7,-0.058,0.7,-13.2,8,inf,"[36.5,49.2]",51.6,9.97e-01,1.000,121,46.3,-0.068,N,106,38.7,-0.047,N,-0.061,-0.096,-0.047,10,14.2,NO
stratxsym=asia_burst_fade|TRUMPUSDT,63,42.9,42.9,-0.047,0.73,-3.0,9,inf,"[31.4,55.1]",50.8,9.18e-01,1.000,0,,,N,63,42.9,-0.047,N,,,-0.047,5,5.9,NO
sessionxsym=late|1000PEPEUSDT,127,46.5,46.5,-0.024,0.74,-3.0,30,inf,"[38.0,55.1]",54.1,9.66e-01,1.000,57,43.9,0.005,N,70,48.6,-0.047,N,0.013,-0.065,-0.036,6,4.3,NO
stratxweekdayxhourb=setup_fade|2|18-23,185,53.5,53.5,-0.0064,0.97,-1.2,9,inf,"[46.3,60.6]",54.4,6.21e-01,1.000,101,57.4,0.028,N,84,48.8,-0.047,N,-0.003,0.073,-0.068,13,13.5,NO
sidexsym=SHORT|ICPUSDT,246,41.9,41.9,-0.052,0.72,-12.8,62,inf,"[35.9,48.1]",50.1,9.96e-01,1.000,130,41.5,-0.056,N,116,42.2,-0.048,N,-0.08,-0.007,-0.066,16,13.0,NO
adxbxstrat=20-30|asia_pump_short_4h,152,57.9,57.9,0.0054,1.03,0.8,26,3.1,"[49.9,65.5]",57.1,4.58e-01,1.000,81,59.3,0.052,N,71,56.3,-0.048,N,0.16,-0.05,-0.009,7,9.1,NO
sessionxsym=ny|SUIUSDT,54,40.7,40.7,-0.048,0.52,-2.6,8,inf,"[28.7,54.0]",56.9,9.94e-01,1.000,0,,,N,54,40.7,-0.048,N,,,-0.048,7,3.6,NO
hourbxsym=18-23|1000PEPEUSDT,268,47.8,47.8,-0.0197,0.82,-5.3,48,inf,"[41.9,53.7]",52.6,9.51e-01,1.000,126,50.0,0.013,N,142,45.8,-0.049,N,0.022,-0.011,-0.059,6,8.5,NO
stratxsym=burst_follow|DASHUSDT,48,35.4,35.4,-0.0466,0.54,-2.2,21,inf,"[23.4,49.6]",50.4,9.87e-01,1.000,20,35.0,-0.044,N,28,35.7,-0.049,N,0.006,-0.093,-0.049,7,3.3,NO
sessionxsym=late|BNBUSDT,81,49.4,49.4,-0.0392,0.68,-3.2,21,inf,"[38.8,60.0]",58.8,9.66e-01,1.000,35,48.6,-0.027,N,46,50.0,-0.049,N,-0.05,-0.032,-0.035,4,4.0,NO
rvbxsym=2-5|BNBUSDT,200,53.0,53.0,-0.0136,0.91,-2.7,40,inf,"[46.1,59.8]",55.5,7.80e-01,1.000,84,52.4,0.035,N,116,53.4,-0.049,N,0.039,-0.011,-0.045,4,7.0,NO
stratxsym=london_burst_fade|HYPEUSDT,39,41.0,41.0,-0.0491,0.73,-1.9,7,inf,"[27.1,56.6]",48.7,8.69e-01,1.000,0,,,N,39,41.0,-0.049,N,,,-0.049,5,2.9,NO
adxbxsym=20-30|RUNEUSDT,139,49.6,49.6,-0.0162,0.87,-2.3,24,inf,"[41.5,57.8]",53.1,8.15e-01,1.000,82,51.2,0.007,N,57,47.4,-0.049,N,0.022,-0.026,-0.039,4,3.9,NO
stratxsym=nony_momentum|FILUSDT,38,55.3,55.3,-0.0015,0.98,-0.1,24,inf,"[39.7,69.9]",55.8,5.93e-01,1.000,24,58.3,0.026,N,14,50.0,-0.049,N,0.037,0.005,-0.044,5,1.4,NO
symxweekday=DOTUSDT|4,123,48.8,48.8,-0.0142,0.9,-1.7,9,inf,"[40.1,57.5]",51.4,7.48e-01,1.000,61,45.9,0.022,N,62,51.6,-0.049,N,-0.016,0.018,-0.038,5,4.0,NO
symxweekday=RENDERUSDT|2,62,50.0,50.0,0.0114,1.08,0.7,9,1.62,"[37.9,62.1]",48.0,4.26e-01,1.000,41,48.8,0.043,N,21,52.4,-0.05,N,0.035,0.018,-0.027,3,1.9,NO
symxweekday=FILUSDT|6,131,47.3,47.3,-0.0234,0.81,-3.1,8,inf,"[39.0,55.8]",52.6,9.03e-01,1.000,39,46.2,0.039,N,92,47.8,-0.05,N,0.039,-0.012,-0.063,5,5.8,NO
symxweekend=BCHUSDT|True,36,55.6,55.6,-0.0502,0.63,-1.8,4,inf,"[39.6,70.5]",66.6,9.40e-01,1.000,0,,,N,36,55.6,-0.05,N,,,-0.05,4,3.4,NO
adxbxsym=20-30|DOTUSDT,288,48.6,48.6,-0.0233,0.83,-6.7,34,inf,"[42.9,54.4]",53.2,9.49e-01,1.000,119,47.1,0.015,N,169,49.7,-0.05,N,-0.021,-0.001,-0.05,6,8.7,NO
sessionxsym=ny|AVAXUSDT,41,48.8,48.8,-0.0507,0.63,-2.1,9,inf,"[34.3,63.5]",60.1,9.48e-01,1.000,0,,,N,41,48.8,-0.051,N,,,-0.051,3,2.8,NO
sprbxstrat=2-5bps|ny_flush_buy_4h,111,50.5,50.5,-0.0515,0.69,-5.7,31,inf,"[41.3,59.6]",59.6,9.80e-01,1.000,24,54.2,-0.054,N,87,49.4,-0.051,N,-0.114,-0.038,-0.051,9,8.2,NO
stratxweekdayxregime=late_fade|5|bull,30,26.7,26.7,-0.0509,0.14,-1.5,1,inf,"[14.2,44.4]",71.9,1.00e+00,1.000,0,,,N,30,26.7,-0.051,N,,,-0.051,9,1.5,NO
stratxsym=ny_flush_buy_4h|XRPUSDT,67,50.7,50.7,-0.0064,0.96,-0.4,40,inf,"[39.1,62.3]",51.7,6.09e-01,1.000,29,58.6,0.052,N,38,44.7,-0.051,N,-0.013,-0.039,0.016,7,4.3,NO
stratxweekdayxhourb=setup_fade|5|12-17,231,46.8,46.8,-0.0549,0.75,-12.7,9,inf,"[40.4,53.2]",53.8,9.86e-01,1.000,112,42.9,-0.059,N,119,50.4,-0.051,N,-0.03,0.014,-0.151,7,14.9,NO
stratxregimexrvb=asia_burst_fade|neutral|<2,657,43.7,43.7,-0.0178,0.89,-11.7,28,inf,"[39.9,47.5]",46.7,9.44e-01,1.000,433,46.2,-0.0,N,224,38.8,-0.051,N,-0.025,0.055,-0.072,24,19.1,NO
adxbxsym=<20|ICPUSDT,43,51.2,51.2,-0.0243,0.81,-1.0,9,inf,"[36.8,65.4]",56.5,8.05e-01,1.000,17,52.9,0.017,N,26,50.0,-0.051,N,0.061,-0.012,-0.093,3,1.8,NO
stratxsym=asia_burst_fade|SOLUSDT,322,41.3,41.3,-0.0257,0.86,-8.3,52,inf,"[36.1,46.8]",45.1,9.25e-01,1.000,185,43.8,-0.007,N,137,38.0,-0.052,N,0.017,-0.046,-0.066,9,13.8,NO
symxweekday=UNIUSDT|4,124,47.6,47.6,-0.032,0.79,-4.0,9,inf,"[39.0,56.3]",53.5,9.20e-01,1.000,59,44.1,-0.01,N,65,50.8,-0.052,N,-0.025,-0.014,-0.044,7,5.1,NO
decbxsym=D10|QNTUSDT,34,47.1,47.1,-0.033,0.73,-1.1,12,inf,"[31.5,63.3]",55.0,8.65e-01,1.000,10,50.0,0.012,N,24,45.8,-0.052,N,0.01,0.076,-0.083,3,2.1,NO
stratxregimexrvb=nony_momentum|neutral|>=5,154,38.3,38.3,-0.0361,0.55,-5.6,23,inf,"[31.0,46.2]",53.1,1.00e+00,1.000,107,36.4,-0.029,N,47,42.6,-0.052,N,-0.089,0.015,-0.061,16,6.1,NO
sidexsym=SHORT|NMRUSDT,166,51.2,51.2,-0.0096,0.95,-1.6,51,inf,"[43.7,58.7]",52.5,6.63e-01,1.000,94,56.4,0.023,N,72,44.4,-0.052,N,0.043,-0.069,-0.03,5,9.8,NO
symxweekday=AVAXUSDT|6,35,57.1,57.1,-0.0527,0.65,-1.8,2,inf,"[40.9,72.0]",67.3,9.25e-01,1.000,0,,,N,35,57.1,-0.053,N,,,-0.053,3,2.9,NO
hourbxsym=18-23|PENGUUSDT,32,50.0,50.0,-0.0527,0.44,-1.7,7,inf,"[33.6,66.4]",69.6,9.94e-01,1.000,0,,,N,32,50.0,-0.053,N,,,-0.053,2,2.0,NO
regimexsym=neutral|DOTUSDT,315,47.3,47.3,-0.0106,0.92,-3.4,33,inf,"[41.9,52.8]",49.4,7.92e-01,1.000,180,46.1,0.021,N,135,48.9,-0.053,N,0.038,-0.011,-0.06,7,7.8,NO
stratxsym=asia_burst_fade|NEARUSDT,70,44.3,44.3,-0.0848,0.6,-5.9,34,inf,"[33.2,55.9]",56.9,9.88e-01,1.000,39,38.5,-0.11,N,31,51.6,-0.053,N,-0.098,-0.137,-0.045,5,5.9,NO
sessionxsym=ny|XLMUSDT,156,52.6,52.6,-0.0136,0.89,-2.1,40,inf,"[44.8,60.2]",55.4,7.89e-01,1.000,86,54.7,0.019,N,70,50.0,-0.053,N,0.043,-0.028,-0.044,3,5.0,NO
stratxweekday=asia_pump_short_4h|2,53,50.9,50.9,0.0373,1.3,2.0,8,1.5,"[37.9,63.9]",44.4,2.06e-01,0.816,20,65.0,0.187,Y,33,42.4,-0.053,N,0.302,0.036,-0.088,6,3.6,NO
stratxweekdayxhourb=london_burst_fade|5|12-17,63,47.6,47.6,-0.056,0.67,-3.5,8,inf,"[35.8,59.7]",57.6,9.57e-01,1.000,35,48.6,-0.058,N,28,46.4,-0.054,N,-0.067,-0.025,-0.052,6,3.8,NO
symxweekday=XLMUSDT|5,72,51.4,51.4,-0.027,0.81,-1.9,9,inf,"[40.1,62.6]",56.7,8.49e-01,1.000,36,50.0,-0.0,N,36,52.8,-0.054,N,0.012,-0.062,-0.046,3,3.8,NO
hourbxsym=0-5|FILUSDT,219,48.9,48.9,-0.0255,0.78,-5.6,48,inf,"[42.3,55.4]",55.0,9.71e-01,1.000,113,51.3,0.001,N,106,46.2,-0.054,N,0.007,-0.019,-0.057,4,6.8,NO
regimexstrat=bull|asia_pump_short_4h,199,56.8,56.8,-0.024,0.9,-4.8,15,inf,"[49.8,63.5]",59.4,7.93e-01,1.000,20,80.0,0.245,Y,179,54.2,-0.054,N,0.294,0.129,-0.054,14,28.6,NO
stratxsidexregime=asia_pump_short_4h|SHORT|bull,199,56.8,56.8,-0.024,0.9,-4.8,15,inf,"[49.8,63.5]",59.4,7.93e-01,1.000,20,80.0,0.245,Y,179,54.2,-0.054,N,0.294,0.129,-0.054,14,28.6,NO
adxbxstrat=>=30|asia_pump_short_4h,180,54.4,54.4,-0.0512,0.8,-9.2,11,inf,"[47.2,61.6]",59.8,9.39e-01,1.000,1,100.0,0.455,N,179,54.2,-0.054,N,,0.455,-0.054,14,28.6,NO
stratxregimexadxb=asia_pump_short_4h|bull|>=30,180,54.4,54.4,-0.0512,0.8,-9.2,11,inf,"[47.2,61.6]",59.8,9.39e-01,1.000,1,100.0,0.455,N,179,54.2,-0.054,N,,0.455,-0.054,14,28.6,NO
stratxsym=london_burst_fade|ZECUSDT,231,46.3,46.3,-0.0203,0.88,-4.7,52,inf,"[40.0,52.8]",49.6,8.56e-01,1.000,118,49.2,0.012,N,113,43.4,-0.054,N,0.016,0.006,-0.061,9,10.1,NO
stratxweekdayxregime=setup_follow|1|bear,100,53.0,53.0,0.0021,1.03,0.2,4,3.41,"[43.3,62.5]",52.2,4.79e-01,1.000,83,56.6,0.014,N,17,35.3,-0.054,N,0.02,-0.014,-0.054,5,1.5,NO
symxweekday=ADAUSDT|2,169,50.3,50.3,-0.0204,0.84,-3.5,9,inf,"[42.8,57.7]",54.6,8.84e-01,1.000,103,52.4,0.001,N,66,47.0,-0.054,N,-0.013,-0.006,-0.04,4,5.0,NO
stratxweekdayxhourb=asia_burst_fade|5|6-11,67,38.8,38.8,-0.0611,0.63,-4.1,7,inf,"[28.0,50.8]",50.3,9.78e-01,1.000,34,41.2,-0.068,N,33,36.4,-0.054,N,-0.109,-0.009,-0.054,8,4.8,NO
stratxregimexrvb=nony_momentum|neutral|2-5,176,48.3,48.3,-0.0288,0.68,-5.1,25,inf,"[41.0,55.6]",57.7,9.95e-01,1.000,128,46.1,-0.019,N,48,54.2,-0.054,N,-0.014,-0.021,-0.069,10,7.4,NO
sessionxsym=ny|RUNEUSDT,128,46.1,46.1,-0.0254,0.82,-3.2,34,inf,"[37.7,54.7]",51.1,8.91e-01,1.000,66,47.0,0.002,N,62,45.2,-0.055,N,0.014,-0.038,-0.046,6,4.7,NO
rvbxsym=2-5|RUNEUSDT,93,47.3,47.3,-0.0245,0.85,-2.3,23,inf,"[37.5,57.4]",51.5,8.19e-01,1.000,38,52.6,0.02,N,55,43.6,-0.055,N,0.038,-0.021,-0.055,4,3.8,NO
stratxsidexregime=asia_burst_fade|SHORT|bear,251,41.8,41.8,-0.0595,0.69,-14.9,13,inf,"[35.9,48.0]",50.9,9.98e-01,1.000,211,42.7,-0.06,N,40,37.5,-0.055,N,-0.068,-0.037,-0.055,20,16.0,NO
regimexsym=neutral|NMRUSDT,126,50.8,50.8,0.0031,1.02,0.4,25,2.42,"[42.2,59.4]",50.3,4.88e-01,1.000,88,51.1,0.028,N,38,50.0,-0.056,N,0.059,-0.038,-0.035,2,4.1,NO
sessionxsym=london|RUNEUSDT,106,50.9,50.9,0.005,1.04,0.5,34,2.26,"[41.6,60.3]",50.0,4.63e-01,1.000,55,52.7,0.061,N,51,49.0,-0.056,N,0.053,0.079,-0.06,2,3.3,NO
stratxweekdayxhourb=london_burst_fade|4|6-11,248,46.4,46.4,-0.0368,0.83,-9.1,8,inf,"[40.3,52.6]",51.2,9.42e-01,1.000,83,45.8,0.001,N,165,46.7,-0.056,N,-0.004,0.055,-0.069,16,19.6,NO
adxbxsym=<20|XRPUSDT,111,49.5,49.5,-0.0334,0.76,-3.7,10,inf,"[40.4,58.7]",56.4,9.39e-01,1.000,49,51.0,-0.004,N,62,48.4,-0.056,N,0.073,-0.023,-0.061,3,5.8,NO
hourbxstrat=18-23|ny_flush_buy_4h,334,53.3,53.3,-0.0263,0.87,-8.8,48,inf,"[47.9,58.6]",56.8,9.13e-01,1.000,123,54.5,0.025,N,211,52.6,-0.056,N,0.026,-0.03,-0.042,26,20.8,NO
symxweekday=PENDLEUSDT|3,58,51.7,51.7,-0.0606,0.59,-3.5,9,inf,"[39.2,64.1]",64.5,9.84e-01,1.000,36,52.8,-0.063,N,22,50.0,-0.057,N,-0.048,-0.061,-0.072,2,3.8,NO
regimexsym=neutral|BNBUSDT,384,50.5,50.5,-0.0292,0.79,-11.2,35,inf,"[45.5,55.5]",56.4,9.91e-01,1.000,271,50.6,-0.018,N,113,50.4,-0.057,N,-0.025,-0.018,-0.067,5,12.4,NO
stratxweekday=asia_pump_short_4h|3,73,68.5,68.5,0.036,1.21,2.6,8,0.97,"[57.1,78.0]",64.3,2.66e-01,0.909,32,71.9,0.155,Y,41,65.9,-0.057,N,0.152,0.147,-0.102,5,4.7,NO
decbxstrat=D4-9|ny_flush_buy_4h,105,50.5,50.5,-0.0357,0.8,-3.8,36,inf,"[41.1,59.9]",55.9,8.90e-01,1.000,42,54.8,-0.004,N,63,47.6,-0.057,N,0.067,-0.083,-0.063,8,5.9,NO
hourbxsym=6-11|ICPUSDT,105,47.6,47.6,-0.0202,0.83,-2.1,30,inf,"[38.3,57.1]",52.4,8.60e-01,1.000,60,50.0,0.007,N,45,44.4,-0.057,N,-0.004,0.022,-0.085,4,3.6,NO
regimexsym=bear|DOTUSDT,130,49.2,49.2,-0.0362,0.73,-4.7,19,inf,"[40.8,57.7]",57.1,9.72e-01,1.000,60,48.3,-0.011,N,70,50.0,-0.057,N,-0.017,-0.038,-0.053,4,6.6,NO
rvbxstrat=2-5|ny_flush_buy_4h,147,51.7,51.7,-0.0341,0.81,-5.0,37,inf,"[43.7,59.6]",56.9,9.14e-01,1.000,59,52.5,0.001,N,88,51.1,-0.057,N,0.031,-0.098,-0.043,9,8.2,NO
stratxweekdayxregime=ny_flush_buy_4h|0|bull,31,48.4,48.4,-0.0579,0.58,-1.8,1,inf,"[32.0,65.2]",61.7,9.55e-01,1.000,0,,,N,31,48.4,-0.058,N,,,-0.058,10,3.9,NO
stratxsym=ny_flush_buy_4h|ADAUSDT,38,44.7,44.7,-0.0257,0.8,-1.0,32,inf,"[30.1,60.3]",50.3,8.01e-01,1.000,17,47.1,0.014,N,21,42.9,-0.058,N,-0.034,0.078,-0.07,5,1.9,NO
decbxsym=D2-3|AVAXUSDT,88,52.3,52.3,-0.0579,0.63,-5.1,9,inf,"[42.0,62.4]",63.4,9.88e-01,1.000,0,,,N,88,52.3,-0.058,N,,,-0.058,3,5.5,NO
stratxsidexregime=asia_burst_fade|LONG|neutral,364,40.9,40.9,-0.0439,0.77,-16.0,26,inf,"[36.0,46.1]",47.5,9.95e-01,1.000,270,40.7,-0.039,N,94,41.5,-0.059,N,-0.058,0.01,-0.111,14,16.3,NO
hourbxsym=18-23|LINKUSDT,35,57.1,57.1,-0.0587,0.6,-2.1,6,inf,"[40.9,72.0]",68.8,9.49e-01,1.000,0,,,N,35,57.1,-0.059,N,,,-0.059,2,2.9,NO
stratxweekdayxhourb=ny_flush_buy_4h|1|12-17,74,59.5,59.5,0.0265,1.23,2.0,8,1.55,"[48.1,69.9]",54.4,2.23e-01,0.848,30,73.3,0.152,Y,44,50.0,-0.059,N,0.236,0.108,-0.086,6,3.5,NO
symxv3=AVAXUSDT|True,76,50.0,50.0,-0.0589,0.66,-4.5,10,inf,"[39.0,61.0]",60.3,9.73e-01,1.000,0,,,N,76,50.0,-0.059,N,,,-0.059,3,5.1,NO
stratxweekdayxhourb=burst_follow|2|18-23,347,49.6,49.6,-0.0237,0.71,-8.2,8,inf,"[44.3,54.8]",58.0,9.99e-01,1.000,156,54.5,0.02,Y,191,45.5,-0.059,N,0.032,0.007,-0.059,22,14.3,NO
hourbxsym=6-11|AVAXUSDT,36,50.0,50.0,-0.0594,0.62,-2.1,8,inf,"[34.5,65.5]",61.8,9.47e-01,1.000,0,,,N,36,50.0,-0.059,N,,,-0.059,2,2.7,NO
decbxsym=D10|APTUSDT,109,52.3,52.3,-0.0006,1.0,-0.1,31,inf,"[43.0,61.4]",52.4,5.47e-01,1.000,52,55.8,0.064,N,57,49.1,-0.06,N,0.046,0.091,-0.075,4,4.5,NO
stratxweekdayxhourb=nony_momentum|1|0-5,116,44.8,44.8,-0.0192,0.74,-2.2,6,inf,"[36.1,53.9]",52.2,9.54e-01,1.000,66,50.0,0.012,N,50,38.0,-0.06,N,0.003,0.022,-0.06,14,3.6,NO
stratxsym=ny_flush_buy_4h|1000PEPEUSDT,44,54.5,54.5,0.0226,1.2,1.0,35,0.64,"[40.1,68.3]",50.0,3.27e-01,0.983,23,60.9,0.099,N,21,47.6,-0.061,N,0.162,0.04,-0.084,5,2.1,NO
stratxsym=setup_fade|XLMUSDT,163,48.5,48.5,-0.0433,0.8,-7.1,58,inf,"[40.9,56.1]",53.9,9.30e-01,1.000,74,51.4,-0.023,N,89,46.1,-0.061,N,0.002,-0.043,-0.075,6,9.7,NO
hourbxsym=12-17|QNTUSDT,80,47.5,47.5,-0.009,0.92,-0.7,27,inf,"[36.9,58.3]",49.5,6.79e-01,1.000,36,50.0,0.054,N,44,45.5,-0.061,N,0.015,0.076,-0.068,3,3.0,NO
stratxregimexdecb=asia_burst_fade|neutral|D2-3,692,42.8,42.8,-0.0333,0.79,-23.0,28,inf,"[39.1,46.5]",48.5,9.99e-01,1.000,453,45.3,-0.019,N,239,38.1,-0.061,N,-0.02,-0.007,-0.075,24,25.1,NO
regimexsym=bull|ICPUSDT,132,47.0,47.0,-0.0453,0.7,-6.0,18,inf,"[38.7,55.4]",55.9,9.84e-01,1.000,32,43.8,0.003,N,100,48.0,-0.061,N,-0.021,0.035,-0.061,4,6.9,NO
stratxweekdayxregime=asia_burst_fade|1|bull,153,47.1,47.1,-0.0038,0.98,-0.6,2,inf,"[39.3,54.9]",47.7,5.92e-01,1.000,33,81.8,0.204,Y,120,37.5,-0.061,N,0.204,,-0.061,9,9.7,NO
stratxsym=setup_fade|NMRUSDT,165,53.9,53.9,-0.0034,0.98,-0.6,51,inf,"[46.3,61.4]",54.3,5.73e-01,1.000,94,60.6,0.04,N,71,45.1,-0.061,N,0.081,-0.125,-0.017,4,8.8,NO
stratxweekdayxregime=london_burst_fade|4|bear,49,42.9,42.9,-0.0075,0.95,-0.4,2,inf,"[30.0,56.7]",44.0,6.17e-01,1.000,44,45.5,-0.001,N,5,20.0,-0.062,N,-0.001,,-0.062,4,2.9,NO
decbxstrat=D2-3|fade_3h_london,46,37.0,37.0,0.1084,1.77,5.0,15,0.84,"[24.5,51.4]",24.9,4.65e-02,0.362,41,39.0,0.129,Y,5,20.0,-0.062,N,0.129,,-0.062,9,2.4,NO
stratxregimexadxb=nony_momentum|bull|20-30,133,48.1,48.1,-0.0006,0.99,-0.1,9,inf,"[39.8,56.5]",48.3,5.54e-01,1.000,125,49.6,0.003,N,8,25.0,-0.063,N,-0.004,0.04,-0.063,12,2.7,NO
stratxweekdayxhourb=nony_momentum|5|0-5,59,59.3,59.3,-0.0529,0.49,-3.1,7,inf,"[46.6,70.9]",74.7,9.97e-01,1.000,15,46.7,-0.023,N,44,63.6,-0.063,N,-0.009,-0.065,-0.065,10,4.7,NO
symxweekday=DOGEUSDT|1,40,42.5,42.5,-0.0631,0.51,-2.5,1,inf,"[28.5,57.8]",59.1,9.89e-01,1.000,0,,,N,40,42.5,-0.063,N,,,-0.063,4,2.9,NO
sidexstrat=SHORT|london_burst_fade,1167,44.3,44.3,-0.0342,0.82,-40.0,54,inf,"[41.5,47.2]",49.3,1.00e+00,1.000,584,49.0,-0.005,N,583,39.6,-0.063,N,-0.025,0.029,-0.063,25,49.9,NO
rvbxstrat=<2|asia_pump_short_4h,266,55.3,55.3,-0.0175,0.92,-4.7,46,inf,"[49.3,61.1]",57.4,7.79e-01,1.000,97,59.8,0.062,N,169,52.7,-0.063,N,0.121,-0.071,-0.057,16,24.6,NO
stratxweekdayxhourb=burst_follow|5|0-5,257,47.5,47.5,-0.0372,0.61,-9.6,8,inf,"[41.4,53.6]",59.6,1.00e+00,1.000,67,58.2,0.038,Y,190,43.7,-0.064,N,0.035,-0.003,-0.064,23,13.3,NO
rvbxsym=2-5|BCHUSDT,30,53.3,53.3,-0.064,0.68,-1.9,6,inf,"[36.1,69.8]",62.7,8.93e-01,1.000,0,,,N,30,53.3,-0.064,N,,,-0.064,3,3.3,NO
