symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,confirmations,vol_z
TONUSDT,2026-04-11T11:19:59.999000+00:00,2026-04-11T12:39:59.999000+00:00,1.39597914,1.3975632885714286,0.0477,51.32,vol_trail,5,76.5,16,-0.2398,0.8542,0.04,0.008007142857142864,25798.27,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.71457524580149
TONUSDT,2026-04-11T18:24:59.999000+00:00,2026-04-11T19:54:59.999000+00:00,1.4827964999999999,1.4883736942857144,0.165,170.22,vol_trail,2,66.9,18,0.0,0.9311,0.04,0.011900000000000006,25945.35,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.452703809566129
WLDUSDT,2026-04-13T01:14:59.999000+00:00,2026-04-13T01:44:59.999000+00:00,0.29515902,0.2978689857142857,0.6469,671.33,vol_trail,9,84.7,6,0.0,1.13,0.04,0.001592857142857142,26582.06,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.68475657464691
WLDUSDT,2026-04-13T12:09:59.999000+00:00,2026-04-13T12:54:59.999000+00:00,0.30006,0.30178963,0.4132,439.36,vol_trail,7,80.0,9,-0.2852,1.6333,0.04,0.0015428571428571475,26899.42,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.784541513558146
APTUSDT,2026-04-13T12:49:59.999000+00:00,2026-04-13T13:49:59.999000+00:00,0.830166,0.8344545042857142,0.8364,888.05,vol_trail,7,79.6,12,0.0,2.9282,0.04,0.0018714285714285714,27787.47,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.470566464486602
ENAUSDT,2026-04-13T22:14:59.999000+00:00,2026-04-13T22:19:59.999000+00:00,0.097789554,0.0983189037142857,0.3246,360.75,vol_trail,9,84.5,1,0.0,0.9568,0.04,0.000597857142857146,28115.5,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.026191013497895
WLDUSDT,2026-04-14T07:39:59.999000+00:00,2026-04-14T08:19:59.999000+00:00,0.32676534,0.3215820992857143,-1.0543,-1185.68,stop_loss,6,78.5,8,-1.0686,0.0,0.04,0.0020214285714285746,26897.09,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",4.889908069486566
ETHUSDT,2026-04-14T08:34:59.999000+00:00,2026-04-14T10:39:59.999000+00:00,2390.3879819999997,2377.795060142857,-1.1739,-1262.94,stop_loss,6,78.4,25,-1.1255,0.1641,0.04,4.655714285714274,25534.72,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",6.6571429620639595
DOTUSDT,2026-04-16T05:44:59.999000+00:00,2026-04-16T07:54:59.999000+00:00,1.2322464,1.2581768857142857,1.6141,1645.85,vol_trail,3,71.4,26,-0.0636,2.4818,0.04,0.0062857142857142756,27065.58,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.981886605057514
PENDLEUSDT,2026-04-16T04:24:59.999000+00:00,2026-04-16T08:04:59.999000+00:00,1.1407281,1.1571113885714284,1.2968,1324.53,vol_trail,1,63.6,44,-0.5396,2.5261,0.04,0.004892857142857159,28390.12,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": false, ""momentum"": true}",3.5023275236826503
ENAUSDT,2026-04-16T07:19:59.999000+00:00,2026-04-16T08:39:59.999000+00:00,0.10423084199999999,0.10286799371428572,-1.0664,-1085.82,stop_loss,3,72.2,16,-0.9611,0.0605,0.04,0.0005285714285714288,27304.3,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.040583564839961
ADAUSDT,2026-04-16T13:09:59.999000+00:00,2026-04-16T13:54:59.999000+00:00,0.25175033999999996,0.24957864571428567,-1.1026,-1204.25,stop_loss,7,79.4,9,-1.931,1.1103,0.04,0.0008285714285714345,25965.43,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",5.5880379746057605
XRPUSDT,2026-04-16T13:29:59.999000+00:00,2026-04-16T13:54:59.999000+00:00,1.4287857000000002,1.4188590285714286,-1.1291,-1230.47,stop_loss,7,80.5,5,-2.9817,0.1817,0.04,0.003742857142857143,24734.95,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.406871444223238
