trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
598ab893-3461-4462-84c0-cd8175f395d4,9,0.26233,-0.27326,0.26233
598ab893-3461-4462-84c0-cd8175f395d4,10,0.9473,-0.27326,0.9473
598ab893-3461-4462-84c0-cd8175f395d4,11,2.57957,-0.27326,2.57957
5bb43720-e3af-4ae0-948b-fa0e006ac60e,0,0.0,0.0,0.0
5bb43720-e3af-4ae0-948b-fa0e006ac60e,1,0.0,-0.04211,-0.04211
5bb43720-e3af-4ae0-948b-fa0e006ac60e,2,0.0,-0.07953,-0.07953
5bb43720-e3af-4ae0-948b-fa0e006ac60e,3,0.10292,-0.07953,0.10292
5bb43720-e3af-4ae0-948b-fa0e006ac60e,4,0.10292,-0.07953,0.0655
5bb43720-e3af-4ae0-948b-fa0e006ac60e,5,0.44444,-0.07953,0.44444
5bb43720-e3af-4ae0-948b-fa0e006ac60e,6,0.62222,-0.07953,0.62222
5bb43720-e3af-4ae0-948b-fa0e006ac60e,7,0.62222,-0.07953,0.49123
5bb43720-e3af-4ae0-948b-fa0e006ac60e,8,0.62222,-0.07953,0.41637
5bb43720-e3af-4ae0-948b-fa0e006ac60e,9,0.74386,-0.07953,0.74386
5bb43720-e3af-4ae0-948b-fa0e006ac60e,10,0.85614,-0.07953,0.85614
5bb43720-e3af-4ae0-948b-fa0e006ac60e,11,1.38947,-0.07953,1.38947
5bb43720-e3af-4ae0-948b-fa0e006ac60e,12,1.69357,-0.07953,1.69357
5bb43720-e3af-4ae0-948b-fa0e006ac60e,13,2.09591,-0.07953,2.09591
5bb43720-e3af-4ae0-948b-fa0e006ac60e,14,2.15205,-0.07953,2.15205
5bb43720-e3af-4ae0-948b-fa0e006ac60e,15,3.00819,-0.07953,3.00819
2e205548-b177-495d-acef-342f501999d0,0,0.0,0.0,0.0
2e205548-b177-495d-acef-342f501999d0,1,0.29447,0.0,0.29447
2e205548-b177-495d-acef-342f501999d0,2,0.29447,0.0,0.08631
2e205548-b177-495d-acef-342f501999d0,3,0.29447,0.0,0.11677
2e205548-b177-495d-acef-342f501999d0,4,0.29447,0.0,0.13708
2e205548-b177-495d-acef-342f501999d0,5,0.29447,0.0,0.25385
2e205548-b177-495d-acef-342f501999d0,6,0.37063,0.0,0.37063
2e205548-b177-495d-acef-342f501999d0,7,0.6194,0.0,0.6194
2e205548-b177-495d-acef-342f501999d0,8,0.6194,0.0,0.29955
2e205548-b177-495d-acef-342f501999d0,9,0.6194,0.0,0.18277
2e205548-b177-495d-acef-342f501999d0,10,0.6194,0.0,0.26908
2e205548-b177-495d-acef-342f501999d0,11,0.6194,0.0,0.27416
2e205548-b177-495d-acef-342f501999d0,12,0.6194,0.0,0.2437
2e205548-b177-495d-acef-342f501999d0,13,0.6194,0.0,0.37063
2e205548-b177-495d-acef-342f501999d0,14,0.6194,0.0,0.51786
2e205548-b177-495d-acef-342f501999d0,15,0.6194,0.0,0.49755
2e205548-b177-495d-acef-342f501999d0,16,0.6194,0.0,0.60925
2e205548-b177-495d-acef-342f501999d0,17,0.6194,0.0,0.37063
2e205548-b177-495d-acef-342f501999d0,18,0.6194,0.0,0.33509
2e205548-b177-495d-acef-342f501999d0,19,0.6194,0.0,0.27416
2e205548-b177-495d-acef-342f501999d0,20,0.6194,0.0,0.03046
2e205548-b177-495d-acef-342f501999d0,21,0.6194,0.0,0.41124
2e205548-b177-495d-acef-342f501999d0,22,0.77679,0.0,0.77679
2e205548-b177-495d-acef-342f501999d0,23,0.8631,0.0,0.8631
2e205548-b177-495d-acef-342f501999d0,24,0.90879,0.0,0.90879
2e205548-b177-495d-acef-342f501999d0,25,1.11695,0.0,1.11695
