trade_uuid,bar_index,mfe_so_far,mae_so_far,unrealized_r
8456fd84-0c97-4f7d-be32-2d8a603b30a6,9,0.85446,-0.05258,0.7578
8456fd84-0c97-4f7d-be32-2d8a603b30a6,10,0.85446,-0.05258,0.8042
8456fd84-0c97-4f7d-be32-2d8a603b30a6,11,0.85446,-0.05258,0.81812
8456fd84-0c97-4f7d-be32-2d8a603b30a6,12,0.85523,-0.05258,0.85523
8456fd84-0c97-4f7d-be32-2d8a603b30a6,13,0.85523,-0.05258,0.84209
8456fd84-0c97-4f7d-be32-2d8a603b30a6,14,0.85523,-0.05258,0.82353
8456fd84-0c97-4f7d-be32-2d8a603b30a6,15,0.85523,-0.05258,0.80652
8456fd84-0c97-4f7d-be32-2d8a603b30a6,16,0.85523,-0.05258,0.82121
8456fd84-0c97-4f7d-be32-2d8a603b30a6,17,0.85523,-0.05258,0.85214
8456fd84-0c97-4f7d-be32-2d8a603b30a6,18,0.85523,-0.05258,0.17476
b1357fb9-e282-47a1-81b6-b77251fcdada,0,0.0,0.0,0.0
b1357fb9-e282-47a1-81b6-b77251fcdada,1,0.22995,0.0,0.22995
b1357fb9-e282-47a1-81b6-b77251fcdada,2,0.22995,0.0,0.18599
b1357fb9-e282-47a1-81b6-b77251fcdada,3,0.22995,0.0,0.20797
b1357fb9-e282-47a1-81b6-b77251fcdada,4,0.22995,0.0,0.1843
b1357fb9-e282-47a1-81b6-b77251fcdada,5,0.22995,0.0,0.22995
b1357fb9-e282-47a1-81b6-b77251fcdada,6,0.42609,0.0,0.42609
b1357fb9-e282-47a1-81b6-b77251fcdada,7,0.57995,0.0,0.57995
b1357fb9-e282-47a1-81b6-b77251fcdada,8,0.57995,0.0,0.35169
b1357fb9-e282-47a1-81b6-b77251fcdada,9,0.57995,0.0,0.26377
b1357fb9-e282-47a1-81b6-b77251fcdada,10,0.57995,0.0,0.4971
b1357fb9-e282-47a1-81b6-b77251fcdada,11,0.92826,0.0,0.92826
b1357fb9-e282-47a1-81b6-b77251fcdada,12,0.92826,0.0,0.83019
b1357fb9-e282-47a1-81b6-b77251fcdada,13,0.92826,0.0,0.69493
b1357fb9-e282-47a1-81b6-b77251fcdada,14,0.92826,0.0,0.6442
b1357fb9-e282-47a1-81b6-b77251fcdada,15,0.92826,0.0,0.45821
b1357fb9-e282-47a1-81b6-b77251fcdada,16,0.92826,0.0,0.56304
b1357fb9-e282-47a1-81b6-b77251fcdada,17,0.92826,0.0,0.59855
b1357fb9-e282-47a1-81b6-b77251fcdada,18,0.92826,0.0,0.58841
b1357fb9-e282-47a1-81b6-b77251fcdada,19,0.92826,0.0,0.71522
b1357fb9-e282-47a1-81b6-b77251fcdada,20,0.92826,0.0,0.443
b1357fb9-e282-47a1-81b6-b77251fcdada,21,0.92826,0.0,0.4971
b1357fb9-e282-47a1-81b6-b77251fcdada,22,0.92826,0.0,0.55797
b1357fb9-e282-47a1-81b6-b77251fcdada,23,0.92826,0.0,0.68478
b1357fb9-e282-47a1-81b6-b77251fcdada,24,0.92826,0.0,0.55966
b1357fb9-e282-47a1-81b6-b77251fcdada,25,0.92826,0.0,0.69324
b1357fb9-e282-47a1-81b6-b77251fcdada,26,0.92826,0.0,0.77271
b1357fb9-e282-47a1-81b6-b77251fcdada,27,0.92826,0.0,0.84203
b1357fb9-e282-47a1-81b6-b77251fcdada,28,1.34758,0.0,1.34758
b1357fb9-e282-47a1-81b6-b77251fcdada,29,1.34758,0.0,1.32899
b1357fb9-e282-47a1-81b6-b77251fcdada,30,1.42029,0.0,1.42029
b1357fb9-e282-47a1-81b6-b77251fcdada,31,1.43043,0.0,1.43043
b1357fb9-e282-47a1-81b6-b77251fcdada,32,1.87512,0.0,1.87512
b1357fb9-e282-47a1-81b6-b77251fcdada,33,1.87512,0.0,1.73647
b1357fb9-e282-47a1-81b6-b77251fcdada,34,1.87512,0.0,1.26304
b1357fb9-e282-47a1-81b6-b77251fcdada,35,1.87512,0.0,1.49469
b1357fb9-e282-47a1-81b6-b77251fcdada,36,1.87512,0.0,1.31884
b1357fb9-e282-47a1-81b6-b77251fcdada,37,1.87512,0.0,1.25966
b1357fb9-e282-47a1-81b6-b77251fcdada,38,1.87512,0.0,1.38309
