symbol,ts,tier,direction,share,hour,fwd_1h,fwd_2h,fwd_4h,fwd_8h,fwd_24h,dd_24h,ru_24h
ARBUSDT,1769986800,0.35,long_dom,0.401,23,1.502439024390254,1.229268292682928,-0.06829268292682196,-1.4341463414634128,1.365853658536591,-4.439024390243921,3.824390243902447
WLDUSDT,1769990400,0.2,short_dom,0.3333,0,0.6415094339622779,-0.3018867924528182,-1.8113207547169718,-1.3584905660377342,2.792452830188689,-5.698113207547176,4.98113207547172
FETUSDT,1770001200,0.35,long_dom,0.4249,3,-0.430034129692839,-1.146757679180895,-0.09556313993174347,0.28668941979521717,1.4334470989761123,-2.5802047781570074,4.348122866894202
ADAUSDT,1770001200,0.2,long_dom,0.2827,3,-0.5011933174224342,-2.272076372315024,-0.7350835322195628,1.9713603818615781,4.310262529832938,-3.6420047732696923,5.646778042959429
CHZUSDT,1770001200,0.35,long_dom,0.483,3,-0.0585774058577314,-0.41004184100417396,0.1366806136680625,1.7963737796373853,-0.41004184100417396,-2.3430962343096216,2.7921896792189678
ARBUSDT,1770001200,0.2,long_dom,0.2081,3,-1.1034482758620776,-3.2413793103448234,-1.3793103448275827,0.4137931034482672,1.17241379310343,-4.413793103448272,3.9310344827585957
ENAUSDT,1770001200,0.35,short_dom,0.5766,3,-0.3888888888888824,-2.203703703703697,-0.8425925925925906,0.45370370370370816,1.3611111111111065,-3.9537037037037037,4.925925925925927
1000LUNCUSDT,1770001200,0.1,long_dom,0.1428,3,3.285996055226831,3.0927021696252517,2.4023668639053306,-0.11045364891518278,1.5739644970414215,-0.938856015779092,5.218934911242607
WLDUSDT,1770012000,0.2,short_dom,0.2144,6,0.023140495867766026,0.27768595041321803,0.995041322314042,1.5504132231404908,2.7768595041322315,-0.34710743801652894,4.1652892561983474
NEARUSDT,1770012000,0.1,short_dom,0.128,6,-0.8936170212765957,-0.14893617021276595,0.8936170212765957,3.127659574468085,1.7872340425531914,-0.968085106382987,4.989361702127651
ARBUSDT,1770022800,0.1,short_dom,0.1536,9,0.2413793103448345,0.2413793103448345,1.8103448275862086,3.1379310344827815,-0.48275862068963554,-2.1724137931034435,6.396551724137931
ENAUSDT,1770022800,0.2,short_dom,0.3089,9,-0.2058823529411828,-0.6176470588235198,1.6470588235294337,2.3676470588235303,-0.7205882352941254,-1.955882352941165,6.485294117647072
ENAUSDT,1770040800,0.2,short_dom,0.245,14,3.6567164179104523,0.6268656716417802,0.7313432835820962,0.6268656716417802,-3.9701492537313423,-3.9701492537313423,4.805970149253725
ADAUSDT,1770040800,0.1,short_dom,0.1582,14,1.4108527131782873,0.8682170542635591,2.0620155038759793,0.8682170542635591,-2.496124031007744,-2.8759689922480414,2.550387596899241
WLDUSDT,1770044400,0.1,short_dom,0.1651,15,-2.065573770491805,-2.295081967213112,-3.5956284153005464,0.803278688524585,3.098360655737697,-4.322404371584703,4.360655737704896
DOTUSDT,1770044400,0.1,short_dom,0.1039,15,-1.5135135135135136,-1.4189189189189295,-2.3648648648648756,-2.7432432432432536,-4.256756756756768,-7.662162162162152,0.4729729729729625
