symbol,entry_time,side,burst_share,pnl_r,exit_reason,strategy_version
XRPUSDT,2026-02-25T02:00:00+00:00,long,0.5143,-1.0646,stop,v66_burst
ENAUSDT,2026-02-25T22:00:00+00:00,long,1.2189,-1.0652,stop,v66_burst
NEARUSDT,2026-03-01T23:00:00+00:00,long,0.3573,4.2918,time_8h,v66_burst
NEARUSDT,2026-03-02T06:00:00+00:00,long,0.49,0.4969,time_8h,v66_burst
XRPUSDT,2026-03-02T15:00:00+00:00,long,0.8813,1.1803,time_8h,v66_burst
FILUSDT,2026-03-02T15:00:00+00:00,long,0.4007,-0.4558,time_8h,v66_burst
1000PEPEUSDT,2026-03-02T16:00:00+00:00,long,0.4298,-1.0445,stop,v66_burst
ENAUSDT,2026-03-02T16:00:00+00:00,long,0.6907,1.3072,time_8h,v66_burst
1000LUNCUSDT,2026-03-02T16:00:00+00:00,long,0.4913,-1.063,stop,v66_burst
WLDUSDT,2026-03-04T16:00:00+00:00,long,0.6631,-1.0431,stop,v66_burst
ARBUSDT,2026-03-04T20:00:00+00:00,long,0.6677,-1.0799,stop,v66_burst
WLDUSDT,2026-03-09T04:00:00+00:00,long,0.5166,-0.2153,time_8h,v66_burst
1000PEPEUSDT,2026-03-09T04:00:00+00:00,long,0.4287,0.3977,time_8h,v66_burst
1000PEPEUSDT,2026-03-09T20:00:00+00:00,long,0.5988,-1.0697,stop,v66_burst
ADAUSDT,2026-03-09T20:00:00+00:00,long,0.4638,-1.0841,stop,v66_burst
XRPUSDT,2026-03-10T03:00:00+00:00,long,0.5655,-1.1463,stop,v66_burst
XLMUSDT,2026-03-10T09:00:00+00:00,long,0.4939,4.3625,time_8h,v66_burst
ADAUSDT,2026-03-10T10:00:00+00:00,long,0.9834,-1.1059,stop,v66_burst
FETUSDT,2026-03-13T01:00:00+00:00,long,0.5828,-0.5546,time_8h,v66_burst
ARBUSDT,2026-03-13T01:00:00+00:00,long,0.9213,1.0553,time_8h,v66_burst
ENAUSDT,2026-03-13T01:00:00+00:00,long,0.4136,2.1153,time_8h,v66_burst
ENAUSDT,2026-03-13T08:00:00+00:00,long,0.6729,-0.1792,time_8h,v66_burst
1000PEPEUSDT,2026-03-13T11:00:00+00:00,long,0.8873,-1.1007,stop,v66_burst
FETUSDT,2026-03-15T03:00:00+00:00,long,0.4986,-1.0562,stop,v66_burst
ADAUSDT,2026-03-15T03:00:00+00:00,long,0.4328,0.0615,time_8h,v66_burst
ENAUSDT,2026-03-15T23:00:00+00:00,long,0.4441,-1.0863,stop,v66_burst
XRPUSDT,2026-03-15T23:00:00+00:00,long,0.8537,0.9579,time_8h,v66_burst
ADAUSDT,2026-03-15T23:00:00+00:00,long,1.5294,4.4895,time_8h,v66_burst
ADAUSDT,2026-03-16T04:00:00+00:00,long,0.6413,1.3999,time_8h,v66_burst
ARBUSDT,2026-03-16T04:00:00+00:00,long,1.2317,0.6692,time_8h,v66_burst
XLMUSDT,2026-03-16T05:00:00+00:00,long,0.4152,0.3172,time_8h,v66_burst
WLDUSDT,2026-03-16T13:00:00+00:00,long,1.3083,2.788,time_8h,v66_burst
ENAUSDT,2026-03-16T14:00:00+00:00,long,0.3889,0.9184,time_8h,v66_burst
FETUSDT,2026-03-16T17:00:00+00:00,long,0.4602,-1.0251,stop,v66_burst
1000LUNCUSDT,2026-03-16T22:00:00+00:00,long,0.712,-1.137,stop,v66_burst
FETUSDT,2026-03-20T06:00:00+00:00,long,0.4866,-1.0306,stop,v66_burst
APTUSDT,2026-03-20T09:00:00+00:00,long,0.5045,0.0831,time_8h,v66_burst
FILUSDT,2026-03-21T16:00:00+00:00,long,0.6326,-1.0588,stop,v66_burst
1000PEPEUSDT,2026-03-23T12:00:00+00:00,long,0.5142,0.8928,time_8h,v66_burst
APTUSDT,2026-03-23T12:00:00+00:00,long,0.6161,1.9625,time_8h,v66_burst
ENAUSDT,2026-03-26T01:00:00+00:00,long,0.412,-1.0595,stop,v66_burst
FILUSDT,2026-03-28T14:00:00+00:00,long,0.8393,-1.1031,stop,v66_burst
ARBUSDT,2026-03-31T02:00:00+00:00,long,0.5973,-1.0866,stop,v66_burst
1000PEPEUSDT,2026-04-01T00:00:00+00:00,long,0.3795,-1.1602,stop,v66_burst
ADAUSDT,2026-04-06T00:00:00+00:00,long,0.4878,1.1105,time_8h,v66_burst
ARBUSDT,2026-04-07T22:00:00+00:00,long,0.5829,2.2187,time_8h,v66_burst
FILUSDT,2026-04-07T22:00:00+00:00,long,0.3946,0.5497,time_8h,v66_burst
NEARUSDT,2026-04-07T22:00:00+00:00,long,0.9602,0.4751,time_8h,v66_burst
ADAUSDT,2026-04-07T22:00:00+00:00,long,0.4775,2.4219,time_8h,v66_burst
WLDUSDT,2026-04-09T16:00:00+00:00,long,1.5144,-0.149,time_8h,v66_burst
ARBUSDT,2026-04-09T22:00:00+00:00,long,0.6942,2.0611,time_8h,v66_burst
DOTUSDT,2026-04-09T23:00:00+00:00,long,2.261,-1.0603,stop,v66_burst
ENAUSDT,2026-04-10T16:00:00+00:00,long,0.5812,-1.0584,stop,v66_burst
ARBUSDT,2026-04-10T23:00:00+00:00,long,0.728,-0.3028,time_8h,v66_burst
1000PEPEUSDT,2026-04-11T21:00:00+00:00,long,0.5939,-1.0512,stop,v66_burst
FILUSDT,2026-04-13T07:00:00+00:00,long,0.6325,-1.1344,stop,v66_burst
WLDUSDT,2026-04-13T14:00:00+00:00,long,0.3865,-1.0431,stop,v66_burst
ADAUSDT,2026-04-13T23:00:00+00:00,long,0.5101,-1.0758,stop,v66_burst
XRPUSDT,2026-04-14T14:00:00+00:00,long,0.5841,-1.1582,stop,v66_burst
1000PEPEUSDT,2026-04-14T15:00:00+00:00,long,0.5511,-1.0542,stop,v66_burst
ARBUSDT,2026-04-15T17:00:00+00:00,long,0.7369,-1.0744,stop,v66_burst
XRPUSDT,2026-04-15T20:00:00+00:00,long,0.988,-1.1675,stop,v66_burst
ADAUSDT,2026-04-15T20:00:00+00:00,long,0.693,-1.1087,stop,v66_burst
1000PEPEUSDT,2026-04-16T03:00:00+00:00,long,0.6763,-1.0451,stop,v66_burst
ARBUSDT,2026-04-16T13:00:00+00:00,long,0.6898,-1.0809,stop,v66_burst
APTUSDT,2026-04-16T14:00:00+00:00,long,0.9818,-1.055,stop,v66_burst
XLMUSDT,2026-04-16T14:00:00+00:00,long,0.5094,3.3619,time_8h,v66_burst
XLMUSDT,2026-04-16T19:00:00+00:00,long,0.4446,-0.307,time_8h,v66_burst
ADAUSDT,2026-04-16T19:00:00+00:00,long,0.3534,-1.0863,stop,v66_burst
ARBUSDT,2026-04-16T20:00:00+00:00,long,0.6787,-1.0603,stop,v66_burst
1000LUNCUSDT,2026-04-17T01:00:00+00:00,long,0.8568,-1.0503,stop,v66_burst
ENAUSDT,2026-04-17T19:00:00+00:00,long,0.4075,-1.0428,stop,v66_burst
CHZUSDT,2026-04-20T11:00:00+00:00,long,0.4241,1.6057,time_8h,v66_burst
1000PEPEUSDT,2026-04-22T03:00:00+00:00,long,0.8088,-1.0819,stop,v66_burst
ARBUSDT,2026-04-22T03:00:00+00:00,long,0.7253,0.5817,time_8h,v66_burst
FILUSDT,2026-04-22T06:00:00+00:00,long,0.4436,-0.545,time_8h,v66_burst
ARBUSDT,2026-04-22T18:00:00+00:00,long,1.0385,-1.0917,stop,v66_burst
ADAUSDT,2026-04-26T10:00:00+00:00,long,0.5576,-0.3373,time_8h,v66_burst
1000PEPEUSDT,2026-04-26T12:00:00+00:00,long,0.5958,-1.1307,stop,v66_burst
CHZUSDT,2026-04-26T16:00:00+00:00,long,0.7834,-1.089,stop,v66_burst
1000LUNCUSDT,2026-04-26T18:00:00+00:00,long,0.4201,6.6628,time_8h,v66_burst
1000PEPEUSDT,2026-04-27T02:00:00+00:00,long,0.5427,-1.0985,stop,v66_burst
1000PEPEUSDT,2026-04-29T05:00:00+00:00,long,0.4643,-1.1578,stop,v66_burst
1000PEPEUSDT,2026-04-29T09:00:00+00:00,long,0.4646,-1.1306,stop,v66_burst
ARBUSDT,2026-04-29T10:00:00+00:00,long,0.5208,-1.0883,stop,v66_burst
XRPUSDT,2026-05-01T04:00:00+00:00,long,0.5429,-0.0581,time_8h,v66_burst
XRPUSDT,2026-05-01T13:00:00+00:00,long,0.4025,-0.0897,time_8h,v66_burst
XRPUSDT,2026-05-02T22:00:00+00:00,long,0.7642,-1.2717,stop,v66_burst
ENAUSDT,2026-05-03T12:00:00+00:00,long,0.3693,-1.1459,stop,v66_burst
XRPUSDT,2026-05-03T23:00:00+00:00,long,0.4291,-1.1994,stop,v66_burst
PENDLEUSDT,2026-05-04T08:00:00+00:00,long,0.6357,4.2828,time_8h,v66_burst
1000LUNCUSDT,2026-05-04T19:00:00+00:00,long,0.4064,-1.0393,stop,v66_burst
TONUSDT,2026-05-04T22:00:00+00:00,long,2.2208,2.5365,time_8h,v66_burst
XLMUSDT,2026-05-05T14:00:00+00:00,long,0.4251,-1.1822,stop,v66_burst
FILUSDT,2026-05-05T21:00:00+00:00,long,0.5207,-1.0768,stop,v66_burst
1000PEPEUSDT,2026-05-05T22:00:00+00:00,long,0.8668,-1.0753,stop,v66_burst
XRPUSDT,2026-05-06T08:00:00+00:00,long,0.4264,-1.2066,stop,v66_burst
XLMUSDT,2026-05-06T09:00:00+00:00,long,0.3905,-1.1582,stop,v66_burst
ADAUSDT,2026-05-06T09:00:00+00:00,long,1.2532,-1.0988,stop,v66_burst
WLDUSDT,2026-05-06T09:00:00+00:00,long,0.379,-1.105,stop,v66_burst
NEARUSDT,2026-05-06T09:00:00+00:00,long,0.4045,2.762,time_8h,v66_burst
ARBUSDT,2026-05-06T22:00:00+00:00,long,0.3669,-1.0837,stop,v66_burst
ARBUSDT,2026-05-08T15:00:00+00:00,long,0.3805,3.3372,time_8h,v66_burst
ENAUSDT,2026-05-08T23:00:00+00:00,long,0.4502,-1.0654,stop,v66_burst
FETUSDT,2026-05-09T04:00:00+00:00,long,0.4417,-1.0811,stop,v66_burst
1000LUNCUSDT,2026-05-10T10:00:00+00:00,long,0.622,-1.0318,stop,v66_burst
ADAUSDT,2026-05-10T16:00:00+00:00,long,1.4162,-1.1088,stop,v66_burst
XLMUSDT,2026-05-10T18:00:00+00:00,long,0.3775,-1.0668,stop,v66_burst
ENAUSDT,2026-05-10T18:00:00+00:00,long,1.5011,-1.0592,stop,v66_burst
APTUSDT,2026-05-10T18:00:00+00:00,long,0.4897,-1.039,stop,v66_burst
CHZUSDT,2026-05-15T11:00:00+00:00,long,0.5167,-1.0727,stop,v66_burst
